Index,Id,Proyecto,NUP,Empresa Solicitante,Tipo,Estado Solicitud,Fecha Recepción,Capacidad [MW],Tipo Proyecto,Sólo BESS,BESS+Solar,BESS+Eólico,Capacidad BESS (MW),Cap. BESS + Solar (MWh),Cap. BESS+ Eolico (MWh),Número de Hrs almacenamiento,Huso,Este,Norte,Fecha Estimada Conexión,Punto de Conexión,Nivel de tension,Barra,Paño,Región,Comuna,Segmento de Transmisión,Latitud,Longitud,Technology
31,1755,San Fernando de Las Cabras,4587,Ríos Chile San Fernando SpA,SAC,Evaluación de antecedentes y/o requerimientos,17 de noviembre de 2023 16:12,50.0,Híbrido,x,,,50.0,,,4.0,19.0,288450.53,6202608.6,30 de noviembre de 2027 00:00,S/E Las Cabras 66 kV,66,Barra principal,B3,Libertador General Bernardo OHiggins,Peumo,Zonal,-34.29620667627413,-71.29857270404116,BESS
32,1754,BESS El Molino de Molina,4588,Ríos Chile Molina SpA,SAC,Evaluación de antecedentes y/o requerimientos,17 de noviembre de 2023 15:54,50.0,Híbrido,x,,,50.0,,,4.0,19.0,288641.1,6113916.4,30 de noviembre de 2027 00:00,S/E Molina 15 kV,15,Barra Simple,C16,Maule,Molina,Zonal,-35.09541170426974,-71.31869856430914,BESS
34,1752,BESS Confín,4584,Alhambra Solar SpA,SAC,Evaluación de antecedentes y/o requerimientos,16 de noviembre de 2023 19:45,150.0,Híbrido,x,,,150.0,,,6.0,19.0,446538.0,7603062.0,30 de septiembre de 2028 00:00,S/E Frontera 220 kV,220,Interruptor y medio,J12,Antofagasta,Maria Elena,Nacional,-21.67494786500359,-69.51676350966517,BESS
35,1751,BESS Abrazo,4583,Alhambra Solar SpA,SAC,Evaluación de antecedentes y/o requerimientos,16 de noviembre de 2023 19:12,150.0,Híbrido,x,,,150.0,,,6.0,19.0,390692.0,6986114.0,30 de septiembre de 2028 00:00,S/E Seccionadora San Andrés 220 kV,220,Interruptor y medio,J14,Atacama,Copiapó,Nacional,-27.243484422947546,-70.10407444630835,BESS
36,1749,BESS Clemencia,4582,Atlas Development Chile SpA,SAC,Evaluación de antecedentes y/o requerimientos,14 de noviembre de 2023 18:11,150.0,Híbrido,x,,,150.0,,,6.0,19.0,440223.0,7565447.0,30 de septiembre de 2028 00:00,S/E Ana María 220 kV,220,Interruptor y medio,J7,Antofagasta,Maria Elena,Nacional,-22.014570850585034,-69.57916956911812,BESS
37,1748,BESS Dulcinea,4581,Atlas Development Chile SpA,SAC,Evaluación de antecedentes y/o requerimientos,14 de noviembre de 2023 17:58,250.0,Híbrido,x,,,250.0,,,6.0,19.0,412094.0,7012150.0,30 de septiembre de 2028 00:00,S/E Carrera Pinto 220 kV,220,Interruptor y medio,J12,Atacama,Copiapó,Nacional,-27.009986037065953,-69.88607092197906,BESS
38,1747,BESS Troya,4580,Atlas Development Chile SpA,SAC,Detenida a la espera de definición de ingeniería de la obra,14 de noviembre de 2023 17:38,200.0,Híbrido,x,,,200.0,,,6.0,19.0,311527.0,6776662.0,30 de septiembre de 2028 00:00,S/E Don Héctor 220 kV,220,Interruptor y medio,J19,Atacama,Vallenar,Nacional,-29.12456875658135,-70.93717415582505,BESS
39,1746,BESS El Peñon,4594,RTB Energy SpA,SAC,Evaluación Admisibilidad,14 de noviembre de 2023 17:25,85.0,Híbrido,x,,,85.0,,,,19.0,286036.0,6666281.0,15 de enero de 2028 00:00,S/E Nueva Pan de Azúcar 220 kV,220,Barra B,J15,Coquimbo,Coquimbo,Nacional,-30.115987247586215,-71.22075539622865,BESS
41,1743,BESS Boreal,4570,Colbún S.A.,SAC,Evaluación de antecedentes y/o requerimientos,10 de noviembre de 2023 10:27,200.0,Híbrido,x,,,200.0,,,,19.0,508358.37,7520291.43,31 de diciembre de 2030 00:00,S/E Calama Nueva 220 kV,220,Barra 1- Barra 2,J61-J62,Antofagasta,Calama,Nacional,-22.42352370496089,-68.91878104298937,BESS
42,1742,BESS San Agustin,4565,Cielpanel SpA,SAC,Evaluación de antecedentes y/o requerimientos,8 de noviembre de 2023 10:20,60.0,Híbrido,x,,,60.0,,,,19.0,389587.94,7768744.04,30 de septiembre de 2024 00:00,S/E Condores 220 kV,220,Barra 220 kV,Paño J4,Tarapacá,Alto Hospicio,Nacional,-20.175522227546104,-70.0566420936585,BESS
