Index,Id,Proyecto,NUP,Empresa Solicitante,Tipo,Estado Solicitud,Fecha Recepción,Capacidad [MW],Tipo Proyecto,Sólo BESS,BESS+Solar,BESS+Eólico,Capacidad BESS (MW),Cap. BESS + Solar (MWh),Cap. BESS+ Eolico (MWh),Número de Hrs almacenamiento,Huso,Este,Norte,Fecha Estimada Conexión,Punto de Conexión,Nivel de tension,Barra,Paño,Región,Comuna,Segmento de Transmisión,Latitud,Longitud,Technology
129,1556,Proyecto BESS Huatacondo,4320,AustrianSolar Chile Cuatro SpA,FEHACIENTES,Proyecto calificado como fehaciente,4 de agosto de 2023 08:39,98.0,Híbrido,x,-,-,98.0,,,5.0,19.0,450863.0,7663187.0,30 de septiembre de 2025 00:00,S/E Santa Rita 220 kV,220,"Barra Principal, seccion1 23kv",por definir,Tarapacá,Pozo Almonte,Dedicada,-21.131849038810724,-69.47320758620276,BESS
130,1549,Sistema BESS Arenales,4276,Punta del Sol SpA,FEHACIENTES,Proyecto autorizado para declararse en construcción,25 de julio de 2023 12:53,300.0,Híbrido,x,-,-,300.0,,,,19.0,360465.78,7448300.0,8 de octubre de 2025 00:00,S/E Cochrane 220 kV,220,Doble Barra,J7,Antofagasta,Mejillones,Dedicada,-23.068023891854565,-70.36214887589662,BESS
131,1548,BESS Halcón 15,4275,oEnergy Development SpA,SUCTD,Observaciones al informe CTD preliminar,24 de julio de 2023 19:11,12.0,Híbrido,x,-,-,12.0,,,,19.0,328972.1,6600346.69,30 de noviembre de 2025 00:00,Línea Los Molles - Monte Patria 2x66 kV,66,Conexión En Derivación,Tap Off al Circuito N°2,Coquimbo,Monte Patria,Dedicada,-30.717471253720472,-70.7861207090196,BESS
132,1547,BESS Metropolitana,4273,BESS Metropolitana SpA,SAC,Evaluación de antecedentes y/o requerimientos,21 de julio de 2023 14:39,200.0,Híbrido,x,-,-,200.0,,,,19.0,343527.0,6267957.0,30 de septiembre de 2027 00:00,S/E Maipo 220 kV,220,Barra principal 220 kV,Bahía GIS N°13,Metropolitana de Santiago,Buin,Nacional,-33.71686084565659,-70.68871022864589,BESS
133,1546,BESS Charruana,4274,BESS Charruana SpA,SAC,Desarrollo de estudios y/o antecedentes,21 de julio de 2023 14:18,200.0,Híbrido,x,-,-,200.0,,,,18.0,737628.85,5891747.3,30 de septiembre de 2027 00:00,S/E Charrúa 220 kV,220,Barra Principal Seccion 3 220kV,J32,Biobío,Cabrero,Nacional,-37.09046204154003,-72.32639068528314,BESS
135,1532,BESS Pueblo Hundido,4215,BESS Pueblo Hundido SpA,SAC,Desarrollo de estudios y/o antecedentes,29 de junio de 2023 14:17,405.0,Híbrido,x,-,-,405.0,,,,19.0,393864.0,7079375.0,30 de noviembre de 2027 00:00,S/E Cumbre 220 kV,220,Barra 1,JX,Atacama,Diego de Almagro,Nacional,-26.40184339774465,-70.06414570569655,BESS
136,1526,BESS Halcón 7,4176,oEnergy Development SpA,SUCTD,Audiencia y antecedentes adicionales,15 de junio de 2023 16:54,17.0,Híbrido,x,-,-,17.0,,,,19.0,369835.36,7955338.15,30 de septiembre de 2025 00:00,Central Chapiquiña - Arica 66 kV,66,Conexión en Derivación,Tap Off,Arica y Parinacota,Arica,Dedicada,-18.488364753406373,-70.23292395402517,BESS
137,1525,BESS Halcón 9,4175,oEnergy Development SpA,SUCTD,Audiencia y antecedentes adicionales,15 de junio de 2023 12:18,69.0,Híbrido,x,-,-,69.0,,,,19.0,288286.0,6662515.0,30 de septiembre de 2025 00:00,El Peñon - Minera Teck 110 kV,110,Conexión en Derivación,Tap Off,Coquimbo,Coquimbo,Dedicada,-30.150340864060002,-71.19816959763469,BESS
139,1522,BESS Halcón 5,4173,oEnergy Development SpA,SUCTD,Observaciones al informe CTD preliminar,13 de junio de 2023 20:36,35.0,Híbrido,x,-,-,35.0,,,,19.0,397642.62,7080539.06,31 de diciembre de 2025 00:00,Diego de Almagro - Río Salado 110 kV,110,En derivación,Tap Off,Atacama,Diego de Almagro,Dedicada,-26.39161111579021,-70.02617235904293,BESS
140,1520,BESS Halcón 13,4172,oEnergy Development SpA,SUCTD,Detenida a la espera de información técnica del propietario de la instalación,12 de junio de 2023 14:55,52.0,Híbrido,x,-,-,52.0,,,,19.0,351597.56,6686597.39,31 de diciembre de 2025 00:00,Vicuña - Baños del Toro 110 kV,110,Conexión en Derivación,Tap Off,Coquimbo,Vicuña,Dedicada,-29.942451009080425,-70.53770343790164,BESS
141,1519,BESS Halcon 10,4171,oEnergy Development SpA,SUCTD,Proyecto Autorizado para Declararse en Construcción,9 de junio de 2023 17:59,55.0,Híbrido,x,-,-,55.0,,,5.2,19.0,394127.0,7079444.0,31 de diciembre de 2025 00:00,Línea Diego de almagro - tap off chañares en 110 kV,110,conexión en derivación,Tap off,Atacama,Diego de Almagro,Dedicada,-26.401240066166856,-70.06150346688703,BESS
143,1487,BESS Halcón 6,4142,oEnergy Development SpA,SUCTD,Proyecto Autorizado para Declararse en Construcción,30 de mayo de 2023 12:08,26.0,Híbrido,x,-,-,60.0,,,,19.0,313882.88,6364165.45,31 de diciembre de 2025 00:00,Las Vegas - Cristalerias Chile 110 kV,110,Derivación,Tap off,Valparaiso,Llaillay,Dedicada,-32.84480540251647,-70.98871053576748,BESS
147,1479,BESS La Solana (Ex BESS Las Terrazas),4120,Aes Chile Inversiones Renovables SpA,SAC,Desarrollo de estudios y/o antecedentes,23 de mayo de 2023 12:45,400.0,Híbrido,x,-,-,400.0,,,,19.0,250518.0,6563849.0,9 de octubre de 2028 00:00,S/E La Cebada 220 kV,220,Barra Principal,JT2,Coquimbo,Ovalle,Nacional,-31.032611424655542,-71.61376783658139,BESS
149,1471,BESS Stand Alone Muelle,4101,Cielpanel SpA,SUCTD,Audiencia y antecedentes adicionales,5 de mayo de 2023 11:29,15.0,Híbrido,x,-,-,15.0,,,,19.0,369950.95,7487260.83,31 de diciembre de 2024 00:00,S/E Muelle 23 kV,23,Barra 23kV,Celda CB06,Antofagasta,Mejillones,Dedicada,-22.716926120917595,-70.26630180861083,BESS
151,1468,BESS Halcón 17,4098,oEnergy Development SpA,SAC,Desarrollo de estudios y/o antecedentes,3 de mayo de 2023 17:44,28.0,Híbrido,x,-,-,28.0,,,,19.0,262676.26,6030369.17,30 de septiembre de 2025 00:00,S/E Chacahuín 15 kV,15,Barra Principal,C7,Maule,Linares,Zonal,-35.84216902050259,-71.62767805403108,BESS
152,1452,Sistema de Almacenamiento de PFV Don Humberto,4084,Enel Green Power del Sur ,FEHACIENTES,Proyecto declarado en construccion,26 de abril de 2023 12:58,60.0,Híbrido,x,-,-,60.0,,,2.0,19.0,329256.0,6334291.0,31 de agosto de 2024 00:00,S/E Don Humberto 33 kV,33,Celdas 33 KV,Celda 33 kV,Metropolitana de Santiago,Tiltil,Dedicada,-33.11664998011808,-70.83007011276962,BESS
153,1450,BESS Halcón 3,4081,oEnergy Development SpA,SUCTD,Audiencia y antecedentes adicionales,21 de abril de 2023 18:41,65.0,Híbrido,x,-,-,65.0,,,,19.0,378729.5,6949741.38,30 de septiembre de 2025 00:00,Línea Cardones - Refugio 110 kV,110,Conexión en Derivación,Tap Off,Atacama,Copiapó,Dedicada,-27.570778731738617,-70.22850717070034,BESS
154,1449,BESS Halcón 4,4080,oEnergy Development SpA,SAC,Elaboración Informe de Autorización de Conexión Preliminar,21 de abril de 2023 16:49,25.0,Híbrido,x,-,-,25.0,,,5.2,19.0,361799.0,6981898.0,30 de septiembre de 2025 00:00,S/E Galleguillos 110 kV,110,Barra Principal 110 kV,H4,Atacama,Copiapó,Zonal,-27.27893145651095,-70.39632311299503,BESS
155,1441,BESS Halcon 2,4054,oEnergy Development SpA,SUCTD,Proyecto Autorizado para Declararse en Construcción,11 de abril de 2023 18:31,50.0,Híbrido,x,,,50.0,,,5.2,19.0,434573.0,7762594.0,30 de septiembre de 2025 00:00,Línea Pozo Almonte - Cerro  Colorado 1x110 kV,110,Conexión en derivación,Tap Off,Tarapacá,Pozo Almonte,Dedicada,-20.233152547259774,-69.62638374151622,BESS
156,1440,BESS Alicanto,4053,Enlasa Generación Chile S.A.,FEHACIENTES,Proyecto autorizado para declararse en construcción,11 de abril de 2023 17:35,1.2,Híbrido,x,-,-,1.2,,,8.0,19.0,396473.0,7079465.0,31 de diciembre de 2023 00:00,S/E San Lorenzo 11 kV,11,Barra Principal,por definir,Atacama,Diego de Almagro,Dedicada,-26.40122304319037,-70.03798344285917,BESS
158,1421,BESS Halcón 14,4033,oEnergy Development SpA,SUCTD,Proyecto Autorizado para Declararse en Construcción,31 de marzo de 2023 21:14,10.0,Híbrido,x,-,-,10.0,,,5.2,19.0,365937.0,7961125.92,30 de septiembre de 2025 00:00,Línea Central Diesel Arica - Arica 66 kV,66,Conexión en derivación,Tap Off,Arica y Parinacota,Arica,Dedicada,-18.435822607730028,-70.26945812351573,BESS
159,1419,BESS Halcón 8,4031,oEnergy Development SpA,SUCTD,Audiencia y antecedentes adicionales,31 de marzo de 2023 19:45,15.0,Híbrido,x,-,-,15.0,,,,19.0,321623.96,6873102.76,30 de septiembre de 2025 00:00,Línea Tap Punta Toro - Los Colorados 110 kV,110,En Derivación,Estructura Sin Identificar,Atacama,Huasco,Dedicada,-28.255960654967442,-70.81833852316002,BESS
169,1177,"Sistema de Almacenamiento Lo Rojas""",3477,Enel Green Power del Sur ,SUCTD,Proyecto Autorizado para Declararse en Construcción,31 de mayo de 2022 20:36,100.0,Híbrido,x,-,-,100.0,,,2.0,18.0,662781.86,5901931.41,1 de enero de 2026 00:00,S/E Central Bocamina I 154 kV,154,"Barra Principal, sección 1",AT1,Biobío,Coronel,Dedicada,-37.01470350179694,-73.17023235859253,BESS
170,1117,Sistema de Almacenamiento PF Las Salinas,3337,Enel Green Power del Sur ,FEHACIENTES,Proyecto autorizado para declararse en construcción,4 de marzo de 2022 13:05,50.0,Híbrido,x,-,-,50.0,,,,19.0,503261.0,7470375.0,31 de enero de 2023 00:00,S/E Nueva El Arriero 33 kV,33,Barra 1 - Barra 4,Celdas 33 kV,Antofagasta,Sierra Gorda,Dedicada,-22.874478216662364,-68.96820895148525,BESS
171,1112,Sistema de Almacenamiento del PF Guanchoi ,3330,Enel Green Power del Sur ,FEHACIENTES,Proyecto autorizado para declararse en construcción,24 de febrero de 2022 17:06,42.0,Híbrido,x,-,-,42.0,,,,19.0,405886.11,7048811.04,1 de septiembre de 2023 00:00,S/E Bella Mónica 33 kV,33,Barras 1 a 4,Celdas en 33 kV,Atacama,Diego de Almagro,Dedicada,-26.678618937338744,-69.9458835136508,BESS
172,1106,Sistema de almacenamiento del PF El Manzano,3325,Enel Green Power del Sur ,FEHACIENTES,Proyecto autorizado para declararse en construcción,10 de febrero de 2022 13:34,40.0,Híbrido,x,-,-,40.0,,,2.0,19.0,332901.0,6335273.0,30 de septiembre de 2023 00:00,S/E El Manzano Solar 33 kV,33,Barra 1,Celdas MT en 33 kV,Metropolitana de Santiago,Tiltil,Dedicada,-33.108364014655926,-70.79083928003493,BESS
