Index,Id,Proyecto,NUP,Empresa Solicitante,Tipo,Estado Solicitud,Fecha Recepción,Capacidad [MW],Tipo Proyecto,Sólo BESS,BESS+Solar,BESS+Eólico,Capacidad BESS (MW),Cap. BESS + Solar (MWh),Cap. BESS+ Eolico (MWh),Número de Hrs almacenamiento,Huso,Este,Norte,Fecha Estimada Conexión,Punto de Conexión,Nivel de tension,Barra,Paño,Región,Comuna,Segmento de Transmisión,Latitud,Longitud,Technology
145,1484,Central Carica,4125,Parque Eólico Carica SpA,SUCTD,Proyecto Autorizado para Declararse en Construcción,24 de mayo de 2023 16:12,85.0,Híbrido,-,-,x,85.0,,170.0,4.7,19.0,241908.0,6614398.0,30 de diciembre de 2026 00:00,Linea 1 x 220 kV El Arrayán - Don Goyo,220,linea,,Coquimbo,Ovalle,Dedicada,-30.575131915456247,-71.69115417825746,BESS (Wind)
157,1438,Proyecto Hibrido Pampa Fidelia,4047,Engie Energía Chile S.A. ,FEHACIENTES,Proyecto autorizado para declararse en construcción,11 de abril de 2023 12:55,400.0,Híbrido,-,-,x,63.0,,400.0,5.0,19.0,436000.0,7239000.0,11 de agosto de 2025 00:00,Línea Lomas de Taltal - Parinas 1x220 kV ,220,Tapoff Estructuras 43-44,Tapoff Estructuras 43-44,Antofagasta,Taltal,Dedicada,-24.96299773633894,-69.63403219596988,BESS (Wind)
176,1077,Parque Eólico Guanaquiana,3124,Guanaquiana SpA,SAC,Proyecto autorizado para declararse en construcción,2 de diciembre de 2021 11:20,334.0,Híbrido,-,-,x,70.0,,334.0,4.771428571428571,19.0,346360.0,6740668.0,4 de enero de 2026 00:00,S/E Punta Colorada 220 kV,220,Barra Principal,"J10, J11",Coquimbo,La Higuera,Nacional,-29.454006364774617,-70.58428183451093,BESS (Wind)
