,Index,Id,Proyecto,NUP,Empresa Solicitante,Tipo,Estado Solicitud,Fecha Recepción,Capacidad [MW],Tipo Proyecto,Sólo BESS,BESS+Solar,BESS+Eólico,Capacidad BESS (MW),Cap. BESS + Solar (MWh),Cap. BESS+ Eolico (MWh),Número de Hrs almacenamiento,Fecha Estimada Conexión,Punto de Conexión,Nivel de tension,Barra,Paño,Región,Comuna,Segmento de Transmisión,Fecha emisión informe definitivo,Plazo obtención declaración en const,Prórroga plazo obtención declaración en const.
3,74,1438,Proyecto Hibrido Pampa Fidelia,4047,Engie Energía Chile S.A. ,FEHACIENTES,Proyecto autorizado para declararse en construcción,11 de abril de 2023 12:55,400,Híbrido,-,-,x,63.0,,378.0,6.0,11 de agosto de 2025 00:00,Línea Lomas de Taltal - Parinas 1x220 kV ,220,Tapoff Estructuras 43-44,Tapoff Estructuras 43-44,Antofagasta,Taltal,Dedicada,,07/2025,
6,90,1077,Parque Eólico Guanaquiana,3124,Guanaquiana SpA,SAC,Proyecto autorizado para declararse en construcción,2 de diciembre de 2021 11:20,334,Híbrido,-,-,x,70.0,,334.0,4.77,4 de enero de 2026 00:00,S/E Punta Colorada 220 kV,220,Barra Principal,"J10, J11",Coquimbo,La Higuera,Nacional,28/12/2022 23:40:39,10/2024,
