,Index,Id,Proyecto,NUP,Empresa Solicitante,Tipo,Estado Solicitud,Fecha Recepción,Capacidad [MW],Tipo Proyecto,Sólo BESS,BESS+Solar,BESS+Eólico,Capacidad BESS (MW),Cap. BESS + Solar (MWh),Cap. BESS+ Eolico (MWh),Número de Hrs almacenamiento,Fecha Estimada Conexión,Punto de Conexión,Nivel de tension,Barra,Paño,Región,Comuna,Segmento de Transmisión,Fecha emisión informe definitivo,Plazo obtención declaración en const,Prórroga plazo obtención declaración en const.
0,4,1663,PFV Quinteros,,Membrillo SpA,SUCTD,Solicitud ingresada,17 de octubre de 2023 17:02,135.0,Híbrido,-,x,-,67.0,201,,3,1 de agosto de 2027 00:00,2x220 kV Nueva Ventana - Nogales,220,Seccionamiento en Interruptor y Medio,"J7, J8",Valparaiso,Puchuncaví,Dedicada,,,
9,35,1592,Pita Solar,4377.0,RWE Renewables Chile SpA,SAC,Detenida a la espera de definición de ingeniería de la obra,4 de septiembre de 2023 15:32,136.4,Híbrido,-,x,-,45.0,"181,4",,"4,03",1 de junio de 2028 00:00,S/E Nueva Pozo Almonte 220 kV,220,por definir,por definir,Tarapacá,Pozo Almonte,Nacional,,,
22,81,1230,Apolo,3616.0,Membrillo SpA,SUCTD,Audiencia y antecedentes adicionales,17 de agosto de 2022 17:38,80.0,Híbrido,-,x,-,24.0,104,,"4,3",Fecha inválida,Línea 2x220kV Puente Negro –La Higuera	,220,Derivacion,Circuito Norte,Libertador General Bernardo OHiggins,San Fernando,Dedicada,,,
23,82,1183,Parque Solar Fotovoltaico Dédalo,3496.0,Enel Green Power del Sur ,SAC,Proyecto autorizado para declararse en construcción,10 de junio de 2022 15:51,500.0,Híbrido,-,x,-,200.0,700,,"3,5",10 de enero de 2026 00:00,S/E Laberinto 220 kV,220,Doble Barra,J14,Antofagasta,Sierra Gorda,Nacional,19/06/2023 18:11:16,04/2025,
26,89,1089,Llanos de Chulo,3139.0,Enel Green Power del Sur ,SAC,Evaluación de antecedentes y/o requerimientos,20 de diciembre de 2021 12:34,410.0,Híbrido,-,x,-,100.0,510,,"5,1",1 de junio de 2026 00:00,S/E Seccionadora San Andrés,220,Interruptor y Medio,Paño J12 y J13,Atacama,Copiapó,Nacional,,,
27,91,1067,La Aguada ,3086.0,Enel Green Power del Sur ,SAC,Evaluación de antecedentes y/o requerimientos,18 de noviembre de 2021 20:23,500.0,Híbrido,-,x,-,100.0,600,,6,1 de diciembre de 2024 00:00,Portezuelo 220 kV ,220,Interruptor y Medio ,Media diagonal J7 y J8 (Referencial),Libertador General Bernardo OHiggins,Peralillo,Nacional,,,
