Dedicated tx lines,n_std,typical use,Design Capacity [MVA],Available Technical Capacity (+) 2023 [MVA],Av. Tec. Capacity (+) 2024 [MVA],Av. Tec. Capacity (+) 2025 [MVA],Av. Tec. Capacity (+) 2026 [MVA],Av. Tec. Capacity (+) 2027 [MVA],Av. Tec. Capacity (+) 2028 [MVA],Av. Tec. Capacity (+) 2029 [MVA],Av. Tec. Capacity (+) 2030 [MVA],Variation 2023->2030 [%],Available Technical Capacity (-) 2023 [MVA],Av. Tec. Capacity (-) 2024 [MVA],Av. Tec. Capacity (-) 2025 [MVA],Av. Tec. Capacity (-) 2026 [MVA],Av. Tec. Capacity (-) 2027 [MVA],Av. Tec. Capacity (-) 2028 [MVA],Av. Tec. Capacity (-) 2029 [MVA],Av. Tec. Capacity (-) 2030 [MVA],Variation 2023->2030 [%](-),Region
Línea 1x220 kV Los Espinos - Los Vilos,79,Inyección,282.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,49.2,"0,0%",282.2,282.2,282.2,282.2,282.2,282.2,282.2,282.2,0%,Región de Coquimbo
Línea 1x220 kV Las Palmas - Totoral 2,80,Inyección,217.6,217.6,217.6,217.6,217.6,217.6,217.6,217.6,217.6,"0,0%",172,172,172,172,172,172,172,172,0%,Región de Coquimbo
Transformador N°1 Totoral 220/66 kV 50MVA,80,Inyección,50,50,50,50,50,50,50,50,50,"0,0%",4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,0%,Región de Coquimbo
Línea 1x66 kV Totoral 1 - Totoral 2,80,Inyección,43.7,0,0,0,0,0,0,0,0,"0,0%",43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,0%,Región de Coquimbo
Línea 1x220 kV Elevadora Canela II - Las Palmas 220 kV,81,Inyección,247.7,124.3,124.3,124.3,124.3,124.3,124.3,124.3,124.3,"0,0%",247.7,247.7,247.7,247.7,247.7,247.7,247.7,247.7,0%,Región de Coquimbo
Línea 1x110 kV Vicuña - Baños del Toro,82,Inyección,52.4,48.6,48.8,48.6,48.6,48.4,48.3,48,47.8,"0,0%",52.4,52.4,52.4,52.4,52.4,52.4,52.4,52.4,0%,Región de Coquimbo
Línea 1x220 kV Tap Llanos Blancos (Estructura N°77) - Minera Teck,83,Mixto,223.6,159.6,159.6,159.6,159.6,159.6,159.6,159.6,159.6,"0,0%",73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,0%,Región de Coquimbo
Línea 1x110 kV El Peñon - Minera Teck CDA,83,Retiro,73.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,67.4,"0,0%",73.4,73.4,73.4,73.4,73.4,73.4,73.4,73.4,0%,Región de Coquimbo
Línea 1x220 kV Tap Llanos Blancos (Estructura N°77) - S/E Tap Off Llanos Blancos,83,Mixto,299.3,235.3,235.3,235.3,235.3,235.3,235.3,235.3,235.3,"0,0%",149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,0%,Región de Coquimbo
Línea 1x220 kV C.R. Llanos Blancos - S/E Tap Off Llanos Blancos,83,Mixto,299.3,235.3,235.3,235.3,235.3,235.3,235.3,235.3,235.3,"0,0%",149.3,149.3,149.3,149.3,149.3,149.3,149.3,149.3,0%,Región de Coquimbo
Línea 1x220 kV Pan De Azucar - Tap Llanos Blancos (Estructura N°77),83,Mixto,223.6,159.6,159.6,159.6,159.6,159.6,159.6,159.6,159.6,"0,0%",73.6,73.6,73.6,73.6,73.6,73.6,73.6,73.6,0%,Región de Coquimbo
Línea 1x220 kV Tap Monte Redondo - Est. 234B,85,Mixto,197.4,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,"0,0%",57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,0%,Región de Coquimbo
Línea 1x220 kV La Cebada - Tap Monte Redondo,85,Mixto,197.4,30.8,30.8,30.8,30.8,30.8,30.8,30.8,30.8,"0,0%",57.9,57.9,57.9,57.9,57.9,57.9,57.9,57.9,0%,Región de Coquimbo
Línea 1x110 kV Ovalle - Tap Punitaqui,86,Mixto,67.4,0,0,0,0,0,0,0,0,"0,0%",67.1,67.1,67.1,67.1,67.1,67.1,67.1,67.1,0%,Región de Coquimbo
Línea 1x220 kV Central Chagual - Los Vilos,87,Inyección,287.7,185.5,185.5,185.5,185.5,185.5,185.5,185.5,185.5,"0,0%",287.7,287.7,287.7,287.7,287.7,287.7,287.7,287.7,0%,Región de Coquimbo
Línea 2x66 kV Los Molles - Monte Patria,160,Retiro,28.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,"0,0%",22.6,22.6,22.6,22.6,22.6,22.6,22.6,22.6,0%,Región de Coquimbo
Línea 1x110 kV Central Los Olivos - Choapa,211,Inyección,141.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,41.1,"0,0%",141.1,141.1,141.1,141.1,141.1,141.1,141.1,141.1,0%,Región de Coquimbo
Línea 1x220 kV Tap Off Estructura N°248 - S/E Central Combarbala,212,Inyección,146.1,70.2,70.2,70.2,70.2,70.2,70.2,70.2,70.2,"0,0%",146.1,146.1,146.1,146.1,146.1,146.1,146.1,146.1,0%,Región de Coquimbo
Línea 1x220 kV Tres Quebradas - Lama,238,Retiro,184.8,184.8,184.8,184.8,184.8,184.8,184.8,184.8,184.8,"0,0%",86,86,86,86,86,86,86,86,0%,Región de Coquimbo
Línea 1x220 Kv Punta Colorada - Tres Quebradas,238,Retiro,186,186,186,186,186,186,186,186,186,"0,0%",84.8,84.8,84.8,84.8,84.8,84.8,84.8,84.8,0%,Región de Coquimbo
Línea 1x66 kV Aconcagua - SASPPC,88,Mixto,40.1,18,18,18,18,18,18,18,18,"0,0%",5.1,5.1,5.1,5.1,18,18,18,18,250%,Región de Valparaíso
Línea 1x66 kV Km 21 - Mina,88,Mixto,60,41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,"0,0%",41.6,41.6,41.6,41.6,41.6,41.6,41.6,41.6,0%,Región de Valparaíso
Línea 1x110 kV Central Los Quilos - Los Maquis,88,Mixto,77.9,38.9,38.9,38.9,38.9,38.9,38.9,38.9,38.9,"0,0%",57.7,57.7,57.7,57.7,57.7,57.7,57.7,57.7,0%,Región de Valparaíso
Línea 1x66 kV Km 21 - Refugio Km 21,88,Mixto,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"0,0%",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0%,Región de Valparaíso
Transformador N°4 Los Quilos 110/66/12 kV 50 MVA,88,Mixto,40,1,1,1,1,1,1,1,1,"0,0%",20,20,20,20,20,20,20,20,0%,Región de Valparaíso
Transformador N°3 Aconcagua 110/66/12 kV 40 MVA,88,Mixto,50,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,"0,0%",12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,0%,Región de Valparaíso
Línea 1x110 kV Tap Los Maquis - Aconcagua,88,Mixto,68.2,0,0,0,0,0,0,0,0,"0,0%",51.7,51.7,51.7,51.7,51.7,51.7,51.7,51.7,0%,Región de Valparaíso
Línea 1x66 kV Los Quilos - Aconcagua,88,Mixto,59.8,0,0,0,0,0,0,0,0,"0,0%",0,0,0,0,0,0,0,0,0%,Región de Valparaíso
Línea 2x66 kV Saladillo - Km 21,88,Mixto,85.9,72.1,72.1,72.1,72.1,72.1,72.1,72.1,72.1,"0,0%",72.1,72.1,72.1,72.1,72.1,72.1,72.1,72.1,0%,Región de Valparaíso
Línea 1x66 kV Mina - Molinos,88,Mixto,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"0,0%",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0%,Región de Valparaíso
Línea 1x66 kV Aconcagua - Saladillo,88,Mixto,40.2,20.4,20.4,20.4,20.4,20.4,20.4,20.4,20.4,"0,0%",5.2,5.2,5.2,5.2,20.4,20.4,20.4,20.4,290%,Región de Valparaíso
Línea 1x66 kV SASPPC - Saladillo,88,Mixto,50.9,33.6,33.6,33.6,33.6,33.6,33.6,33.6,33.6,"0,0%",15.9,15.9,15.9,15.9,33.6,33.6,33.6,33.6,110%,Región de Valparaíso
Línea 1x110 kV Tap Codelco Ventanas - Codelco Ventanas 1,89,Retiro,61,16,16,16,16,16,16,16,16,"0,0%",61,61,61,61,61,61,61,61,0%,Región de Valparaíso
Línea 1x110 kV Codelco Ventanas 1 - Codelco Ventanas 2,89,Retiro,61,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6,"0,0%",61,61,61,61,61,61,61,61,0%,Región de Valparaíso
Línea 2x220 kV  Quillota - Tap Mauro,90,Retiro,214.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,"0,0%",49,49,49,49,49,49,49,49,0%,Región de Valparaíso
Línea 2x220 kV Quillota - Tap Mauro,90,Retiro,214.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,"0,0%",49,49,49,49,49,49,49,49,0%,Región de Valparaíso
Línea 1x220 kV  Tap Mauro - Mauro,90,Retiro,175.3,153.3,153.3,153.3,153.3,153.3,153.3,153.3,153.3,"0,0%",175.3,175.3,175.3,175.3,175.3,175.3,175.3,175.3,0%,Región de Valparaíso
Línea 1x110 kV La Calera - El Cobre,91,Retiro,72.4,49.1,49.1,49.1,49.1,49.1,49.1,49.1,49.1,"0,0%",8.1,8.1,8.1,8.1,8.1,8.1,8.1,8.1,0%,Región de Valparaíso
Línea 1x220 kV Tap El Llano - SAG,92,Mixto,194.3,161.9,161.9,161.9,161.9,161.9,161.9,161.9,161.9,"0,0%",177.1,177.1,177.1,177.1,177.1,177.1,177.1,177.1,0%,Región de Valparaíso
Línea 1x220 kV Los Maquis - Cordillera,92,Mixto,157,118.1,118.1,118.1,118.1,118.1,118.1,118.1,118.1,"0,0%",74.8,74.8,74.8,74.8,74.8,74.8,74.8,74.8,0%,Región de Valparaíso
Línea 1x220 kV Cordillera - SAG,92,Mixto,216.4,184.1,184.1,184.1,184.1,184.1,184.1,184.1,184.1,"0,0%",169.8,169.8,169.8,169.8,169.8,169.8,169.8,169.8,0%,Región de Valparaíso
Línea 2x110 kV Torquemada - Mauco,93,Mixto,151.5,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,"0,0%",130.2,130.2,130.2,130.2,130.2,130.2,130.2,130.2,0%,Región de Valparaíso
Línea 1x220 kV Nehuenco Ii N2 - San Luis,94,Inyección,270.5,125.2,125.2,125.2,125.2,125.2,125.2,125.2,125.2,"0,0%",270.5,270.5,270.5,270.5,270.5,270.5,270.5,270.5,0%,Región de Valparaíso
Línea 1x220 kV Nehuenco Ii N1 - San Luis,94,Inyección,270.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,28.5,"0,0%",270.5,270.5,270.5,270.5,270.5,270.5,270.5,270.5,0%,Región de Valparaíso
Línea 1x220 kV Nehuenco I N1 - San Luis,94,Inyección,325,110,110,110,110,110,110,110,110,"0,0%",325,325,325,325,325,325,325,325,0%,Región de Valparaíso
Línea 1x220 kV Nehuenco Iii - San Luis,94,Inyección,270.5,163.6,163.6,163.6,163.6,163.6,163.6,163.6,163.6,"0,0%",270.5,270.5,270.5,270.5,270.5,270.5,270.5,270.5,0%,Región de Valparaíso
Línea 1x220 kV Nehuenco I N2 - San Luis,94,Inyección,325,213.1,213.1,213.1,213.1,213.1,213.1,213.1,213.1,"0,0%",325,325,325,325,325,325,325,325,0%,Región de Valparaíso
Línea 1x220 kV Los Maquis - Hornitos,95,Inyección,180.2,180.2,180.2,180.2,180.2,180.2,180.2,180.2,180.2,"0,0%",117.2,117.2,117.2,117.2,117.2,117.2,117.2,117.2,0%,Región de Valparaíso
Línea 1x110 kV Central Colmito - Torquemada,96,Inyección,135.3,77.4,77.4,77.4,77.4,77.4,77.4,77.4,77.4,"0,0%",135.3,135.3,135.3,135.3,135.3,135.3,135.3,135.3,0%,Región de Valparaíso
Línea 2x66 kV Esperanza - Calera Centro,97,Retiro,33.7,28.1,28.1,28.1,28.1,28.1,28.1,28.1,28.1,"0,0%",3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,0%,Región de Valparaíso
Línea 1x66 kV Calera Centro - Cerro Calera,97,Retiro,43.3,35.2,35.2,35.2,35.2,35.2,35.2,35.2,35.2,"0,0%",13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.3,0%,Región de Valparaíso
Línea 2x66 kV Calera Centro - Cemento Melon,97,Retiro,55.4,51,51,51,51,51,51,51,51,"0,0%",43.4,43.4,43.4,43.4,43.4,43.4,43.4,43.4,0%,Región de Valparaíso
Transformador N°1 Calera Centro 66/62/12 kV 30 MVA,97,Retiro,30,29.1,29.1,29.1,29.1,29.1,29.1,29.1,29.1,"0,0%",0,0,0,0,0,0,0,0,0%,Región de Valparaíso
Transformador N°1 Esperanza 110/62/12 kV 30 MVA,97,Retiro,30,20.3,20.3,20.3,20.3,20.3,20.3,20.3,20.3,"0,0%",0,0,0,0,0,0,0,0,0%,Región de Valparaíso
Transformador N°1 Cerro Calera 110 /62/12 kV 30 MVA,97,Retiro,30,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,"0,0%",0,0,0,0,0,0,0,0,0%,Región de Valparaíso
Línea 1x220 kV Central Quintero - San Luis,98,Inyección,392.9,382.9,382.9,382.9,382.9,382.9,382.9,382.9,382.9,"0,0%",138.3,138.3,138.3,138.3,138.3,138.3,138.3,138.3,0%,Región de Valparaíso
Línea 2x220 kV Nueva Ventanas - Nogales,98,Inyección,471.5,411.7,411.7,411.7,411.7,411.7,411.7,411.7,411.7,"0,0%",298,298,298,298,298,298,298,298,0%,Región de Valparaíso
Línea 1x110 kV GNL Quintero - El Bato,98,Retiro,27.6,15.5,15.5,15.5,15.5,15.5,15.5,15.5,15.5,"0,0%",27.4,27.4,27.4,27.4,27.4,27.4,27.4,27.4,0%,Región de Valparaíso
Línea 1x110 kV Ventanas - GNL Quintero,98,Inyección,76.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,40.7,"0,0%",76.6,76.6,76.6,76.6,76.6,76.6,76.6,76.6,0%,Región de Valparaíso
Autotransformador N°1 Central Quintero 220/110 kV 81 MVA,98,Inyección,81,75.7,75.7,75.7,75.7,75.7,75.7,75.7,75.7,"0,0%",80.9,80.9,80.9,80.9,80.9,80.9,80.9,80.9,0%,Región de Valparaíso
Línea 1x110 kV Las Vegas - Cristaleria Chile,99,Mixto,75.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,59.3,"0,0%",66.3,66.3,66.3,66.3,66.3,66.3,66.3,66.3,0%,Región de Valparaíso
Línea 1x220 kV Tap Off Doña Carmen - Doña Carmen,100,Inyección,289,140.4,140.4,140.4,140.4,140.4,140.4,140.4,140.4,"0,0%",289,289,289,289,289,289,289,289,0%,Región de Valparaíso
Línea 1x220 kV Meseta de Los Andes - Los Maquis,222,Inyección,276.5,0,0,0,0,0,0,0,0,"0,0%",276.5,276.5,276.5,276.5,276.5,276.5,276.5,276.5,0%,Región de Valparaíso
Línea 2x220 kV Centella - Los Piuquenes*,270,Retiro,175.3,0,0,0,0,0,0,0,0,"0,0%",175.3,175.3,175.3,175.3,175.3,175.3,175.3,175.3,0%,Región de Valparaíso
Línea 1x220 kV Las Tórtolas - Los Maitenes,103,Mixto,228.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,8.6,"0,0%",109.1,109.1,109.1,109.1,109.1,109.1,109.1,109.1,0%,Región Metropolitana
Línea 1x220 kV Polpaico - Las Tórtolas,103,Mixto,277.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,"0,0%",277.4,277.4,277.4,277.4,277.4,277.4,277.4,277.4,0%,Región Metropolitana
Línea 1x220 kV Santa Filomena - Confluencia,103,Mixto,389.1,160.6,160.6,160.6,160.6,160.6,160.6,160.6,160.6,"0,0%",270.2,270.2,270.2,270.2,270.2,270.2,270.2,270.2,0%,Región Metropolitana
Línea 1x220kV Polpaico - Santa Filomena,103,Mixto,301.8,26.1,26.1,26.1,26.1,26.1,26.1,26.1,26.1,"0,0%",66,66,66,66,66,66,66,66,0%,Región Metropolitana
Línea 1x66 kV Los Maitenes - San Francisco,103,Retiro,50.1,19.7,19.7,19.7,19.7,19.7,19.7,19.7,19.7,"0,0%",50.1,50.1,50.1,50.1,50.1,50.1,50.1,50.1,0%,Región Metropolitana
Línea 1x66 kV Los Maitenes-Tap Phi,103,Retiro,51,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,"0,0%",51,51,51,51,51,51,51,51,0%,Región Metropolitana
Línea 3x66 kV San Francisco - Los Bronces,103,Retiro,41.4,10.6,10.6,10.6,10.6,10.6,10.6,10.6,10.6,"0,0%",41.4,41.4,41.4,41.4,41.4,41.4,41.4,41.4,0%,Región Metropolitana
Línea 1x220 kV Confluencia - Maitenes,103,Retiro,389.4,237.7,237.7,237.7,237.7,237.7,237.7,237.7,237.7,"0,0%",270.4,270.4,270.4,270.4,270.4,270.4,270.4,270.4,0%,Región Metropolitana
Línea 1x110 kV Maipo - Pirque,104,Mixto,48.4,0.8,0.5,0.2,0,0,0,0,0,"-100,0%",0,0,0,0,0,0,0,0,0%,Región Metropolitana
Línea 1x110 kV Pirque - Puente Alto CMPC,104,Mixto,48.2,10.3,10.3,10.3,10.3,10.3,10.3,10.3,10.3,"0,0%",0,0,0,0,0,0,0,0,0%,Región Metropolitana
Transformador Maipo 230/115-69KV 60 MVA,104,Retiro,60,12,12,12,12,12,12,12,12,"0,0%",0,0,0,0,0,0,0,0,0%,Región Metropolitana
Línea 1x110 kV Central Puntilla - Puente Alto,105,Inyección,71.3,49.5,49.5,49.5,49.5,49.5,49.5,49.5,49.5,"0,0%",71.3,71.3,71.3,71.3,71.3,71.3,71.3,71.3,0%,Región Metropolitana
Línea 1x66 kV Santa Rosa (CGE)- Alhue,106,Retiro,45,32.4,32,31.5,31.1,30.8,30.4,29.9,29.5,"-10,0%",45,45,45,45,45,45,45,45,0%,Región Metropolitana
Línea 1x110 kV Loma Los Colorados - Tap Punta Peuco,107,Inyección,69.6,39.7,39.7,39.7,39.7,39.7,39.7,39.7,39.7,"0,0%",69.6,69.6,69.6,69.6,69.6,69.6,69.6,69.6,0%,Región Metropolitana
Línea 2x220 kV Tap El Manzano - El Manzano C1,109,Mixto,410.4,374.4,374.4,374.4,374.4,374.4,374.4,374.4,374.4,"0,0%",95.2,95.2,95.2,95.2,95.2,95.2,95.2,95.2,0%,Región Metropolitana
Línea 2x220 kV Tap El Manzano - El Manzano C2,109,Mixto,264.8,228.8,228.8,228.8,228.8,228.8,228.8,228.8,228.8,"0,0%",264.8,264.8,264.8,264.8,264.8,264.8,264.8,264.8,0%,Región Metropolitana
Línea 2x220 kV Tap Lampa - Lampa,110,Retiro,306.8,146.8,146.8,146.8,146.8,146.8,146.8,146.8,146.8,"0,0%",306.8,306.8,306.8,306.8,306.8,306.8,306.8,306.8,0%,Región Metropolitana
Línea 1x66 kV Isla De Maipo - Papelera Talagante,183,Mixto,51.9,29.8,29,28.2,27.4,26.9,26.2,25.4,24.6,"-20,0%",52.1,52.1,52.1,52.1,52.1,52.1,52.1,52.1,0%,Región Metropolitana
Línea 1x66 kV Alto Jahuel - Los Guindos (FFCC),184,Retiro,17.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,4.9,"0,0%",17.9,17.9,17.9,17.9,17.9,17.9,17.9,17.9,0%,Región Metropolitana
Línea 2x110 kV Tap Lo Espejo (FFCC) - Lo Espejo (FFCC),186,Retiro,78.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,66.1,"0,0%",78.1,78.1,78.1,78.1,78.1,78.1,78.1,78.1,0%,Región Metropolitana
Transformador N°1 Lo Espejo (FFCC) 110/66KV 20MVA T1,186,Retiro,20,8,8,8,8,8,8,8,8,"0,0%",20,20,20,20,20,20,20,20,0%,Región Metropolitana
Transformador N°2 Lo Espejo (FFCC) 110/66KV 20MVA T2,186,Retiro,20,8,8,8,8,8,8,8,8,"0,0%",20,20,20,20,20,20,20,20,0%,Región Metropolitana
Línea 1x66 kV Hospital(FFCC) - Tap Hospital,187,Retiro,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,25.7,"0,0%",21.7,21.7,21.7,21.7,21.7,21.7,21.7,21.7,0%,Región Metropolitana
Línea 2x220 kV Central Alfalfal - Tap La Ermita,200,Inyección,312.1,0,0,0,0,0,0,0,0,"0,0%",312.1,312.1,312.1,312.1,312.1,312.1,312.1,312.1,0%,Región Metropolitana
Línea 2x220 kV Central Alfalfal II - Central Alfalfal C1,200,Inyección,258,98,98,98,98,98,98,98,98,"0,0%",258,258,258,258,258,258,258,258,0%,Región Metropolitana
Línea 2x220 kV Central Alfalfal II - Central Alfalfal C2,200,Inyección,258,98,98,98,98,98,98,98,98,"0,0%",258,258,258,258,258,258,258,258,0%,Región Metropolitana
Línea 1x110 kV Central Maitenes - Tap Central Maitenes,200,Inyección,81,54,54,54,54,54,54,54,54,"0,0%",77,77,77,77,77,77,77,77,0%,Región Metropolitana
Línea 2x110 kV Tap La Laja - Vizcachas,200,Mixto,391.4,0,0,0,0,0,0,0,0,"0,0%",223.1,223.1,223.1,223.1,223.1,223.1,223.1,223.1,0%,Región Metropolitana
Línea 2x110 kV Central Las Lajas - Alto Maipo C1,200,Inyección,163.1,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,"0,0%",163.1,163.1,163.1,163.1,163.1,163.1,163.1,163.1,0%,Región Metropolitana
Línea 2x110 kV Central Las Lajas - Alto Maipo C2,200,Inyección,163.1,14.7,14.7,14.7,14.7,14.7,14.7,14.7,14.7,"0,0%",163.1,163.1,163.1,163.1,163.1,163.1,163.1,163.1,0%,Región Metropolitana
Línea 2x110 kV Alto Maipo - Tap La Laja,200,Inyección,320.7,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,"0,0%",320.7,320.7,320.7,320.7,320.7,320.7,320.7,320.7,0%,Región Metropolitana
Línea 1x110 kV Central Alfalfal - Tap Central Maitenes,200,Inyección,243.3,77.9,77.9,77.9,77.9,77.9,77.9,77.9,77.9,"0,0%",214.1,214.1,214.1,214.1,214.1,214.1,214.1,214.1,0%,Región Metropolitana
Línea 1x110 kV Central Maitenes - Tap Central Maitenes,200,Inyección,244.3,56.2,56.2,56.2,56.2,56.2,56.2,56.2,56.2,"0,0%",244.3,244.3,244.3,244.3,244.3,244.3,244.3,244.3,0%,Región Metropolitana
Línea 2x110 kV Tap La Laja - Queltehues,200,Mixto,51.4,49.4,49.4,49.3,49.3,49.2,49.1,49.1,49,"0,0%",20.5,20.5,20.5,20.5,20.5,20.5,20.5,20.5,0%,Región Metropolitana
Línea 1x220 kV Tap Central Santa Marta - Central Santa Marta,204,Inyección,293,293,293,293,293,293,293,293,293,"0,0%",278.8,278.8,278.8,278.8,278.8,278.8,278.8,278.8,0%,Región Metropolitana
Línea 1x220 kV Central San Andres - Central La Confluencia,112,Inyección,168.8,115.5,115.5,115.5,115.5,115.5,115.5,115.5,115.5,"0,0%",168.8,168.8,168.8,168.8,168.8,168.8,168.8,168.8,0%,Región del Libertador Bernardo O'higgins
Línea 1x220 kV Central La Confluencia - Central El Paso,112,Inyección,301,301,301,301,301,301,301,301,301,"0,0%",233.9,233.9,233.9,233.9,233.9,233.9,233.9,233.9,0%,Región del Libertador Bernardo O'higgins
Línea 2x220 kV Central La Higuera - Puente Negro,112,Inyección,472.9,247.4,247.4,247.4,247.4,247.4,247.4,247.4,247.4,"0,0%",472.9,472.9,472.9,472.9,472.9,472.9,472.9,472.9,0%,Región del Libertador Bernardo O'higgins
Línea 2x220 kV Central La Higuera - Central La Confluencia,112,Inyección,253,253,253,253,253,253,253,253,253,"0,0%",108,108,108,108,108,108,108,108,0%,Región del Libertador Bernardo O'higgins
Línea 1x66 kV Tap Maestranza - R,114,Retiro,29.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,"0,0%",29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,0%,Región del Libertador Bernardo O'higgins
Línea 1x66 kV Tap Maestranza - R2,114,Retiro,29.2,9.3,9.3,9.3,9.3,9.3,9.3,9.3,9.3,"0,0%",29.2,29.2,29.2,29.2,29.2,29.2,29.2,29.2,0%,Región del Libertador Bernardo O'higgins
Línea 1x66 kV Los Lirios - Tap Los Lirios,115,Retiro,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"0,0%",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0%,Región del Libertador Bernardo O'higgins
Línea 1x66 kV Rengo(FFCC) - Tap Rengo,116,Retiro,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,26.5,"0,0%",3,3,1.6,1.6,0.1,0,0,0,-100%,Región del Libertador Bernardo O'higgins
Línea 1x66 kV San Fernando(FFCC) - San Fernando,117,Retiro,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,"0,0%",#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0%,Región del Libertador Bernardo O'higgins
Línea 1x154 kV Tap Minera Valle Central - SE Minera Valle Central,120,Mixto,55.5,8.2,7.5,6.8,6.1,5.4,4.7,4,3.3,"-60,0%",12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,0%,Región del Libertador Bernardo O'higgins
Línea 2x220 kV Candelaria - Central Candelaria,218,Inyección,356.7,356.7,356.7,356.7,356.7,356.7,356.7,356.7,356.7,"0,0%",221.9,221.9,221.9,221.9,221.9,221.9,221.9,221.9,0%,Región del Libertador Bernardo O'higgins
Línea 2x220 kV Candelaria - Minero,219,Retiro,343.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,43.7,"0,0%",343.7,343.7,343.7,343.7,343.7,343.7,343.7,343.7,0%,Región del Libertador Bernardo O'higgins
Línea 1x66 kV Central San Javier - Tap Central San Javier,111,Inyección,72.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,22.7,"0,0%",72.7,72.7,72.7,72.7,72.7,72.7,72.7,72.7,0%,Región del Maule
Línea 1x66 kV Tap Rio Colorado - Armerillo,121,Inyección,66,12.8,12.8,12.8,12.8,12.8,12.8,12.8,12.8,"0,0%",66,66,66,66,66,66,66,66,0%,Región del Maule
Línea 1x66 kV Tap Rio Colorado - Rio Colorado,121,Inyección,81.2,64.7,64.7,64.7,64.7,64.7,64.7,64.7,64.7,"0,0%",81.2,81.2,81.2,81.2,81.2,81.2,81.2,81.2,0%,Región del Maule
Línea 1x110 kV Los Hierros - Tap Los Hierros II,121,Inyección,149.6,124.6,124.6,124.6,124.6,124.6,124.6,124.6,124.6,"0,0%",149.6,149.6,149.6,149.6,149.6,149.6,149.6,149.6,0%,Región del Maule
Línea 2x220 kV Tap Loma Alta - Canal Melado,121,Inyección,197.4,73.3,73.3,73.3,73.3,73.3,73.3,73.3,73.3,"0,0%",197.4,197.4,197.4,197.4,197.4,197.4,197.4,197.4,0%,Región del Maule
Transformador Armerillo 220/66/23 kV,121,Inyección,70,16.8,16.8,16.8,16.8,16.8,16.8,16.8,16.8,"0,0%",70,70,70,70,70,70,70,70,0%,Región del Maule
Línea 1x110 kV Los Hierros II - Tap Los Hierros II,121,Inyección,147.1,141.1,141.1,141.1,141.1,141.1,141.1,141.1,141.1,"0,0%",147.1,147.1,147.1,147.1,147.1,147.1,147.1,147.1,0%,Región del Maule
