Time Block,Average of CMg US$,Name
11,3.710769230769231,S/E PUERTO PATACHE 220KV
12,2.701868131868132,S/E PUERTO PATACHE 220KV
13,0.8946153846153846,S/E PUERTO PATACHE 220KV
14,0.4357142857142857,S/E PUERTO PATACHE 220KV
15,0.0,S/E PUERTO PATACHE 220KV
16,0.0,S/E PUERTO PATACHE 220KV
17,0.0,S/E PUERTO PATACHE 220KV
18,0.7712087912087913,S/E PUERTO PATACHE 220KV
19,6.768791208791209,S/E PUERTO PATACHE 220KV
20,67.06197802197802,S/E PUERTO PATACHE 220KV
21,106.92824175824175,S/E PUERTO PATACHE 220KV
22,110.67923076923078,S/E PUERTO PATACHE 220KV
23,106.64021978021978,S/E PUERTO PATACHE 220KV
24,95.06626373626372,S/E PUERTO PATACHE 220KV
