"x","y","ID_LIN_TRA","SUBTIPO","NOMBRE","CIRCUITO","TIPO","F_OPERACIO","LONG_KM","TRAMO","PROPIEDAD","TENSION_KV","RCA","SIST_ELECT","ESTADO","REGION","PROVINCIA","COMUNA","FUENTES_BAS","FECH_CREA","FECH_ACT","Shape_STLe","geometry"
"-28.534413","-70.924449","none","none","Nueva Línea Nueva Maitencillo - Punta Colorada - Nueva Pan de Azúcar 2x220 kV, 2x500 MVA","none","Obra Nueva Tx Nacional","4/1/2022","202","NUEVA MAITENCILLO - PUNTA COLORADA - NUEVA PAN DE AZÚCAR","ELETRANS III S.A","220","none","SEN","EN CONSTRUCCIÓN","INTERREGIONAL","","","none","1/29/2024","1/29/2024","",""
"-30.119762","-71.218304","none","none","Nueva Línea Nueva Maitencillo - Punta Colorada - Nueva Pan de Azúcar 2x220 kV, 2x500 MVA","none","Obra Nueva Tx Nacional","4/1/2022","202","NUEVA MAITENCILLO - PUNTA COLORADA - NUEVA PAN DE AZÚCAR","ELETRANS III S.A","220","none","SEN","EN CONSTRUCCIÓN","INTERREGIONAL","","","none","1/29/2024","1/29/2024","",""
"-30.119653","-71.219996","none","none","Nueva Línea Nueva Pan de Azúcar - Punta Sierra - Los Pelambres 2x220 kV, 2x580 MVA","none","Obra Nueva Tx Nacional","11/1/2022","252","NUEVA PAN DE AZUCAR - PUNTA SIERRA - LOS PELAMBRES","CENTELLA TRANSMISIÓN S.A.","220","none","SEN","EN CONSTRUCCIÓN","COQUIMBO","ELQUI - CHOAPA","Andacollo-Los Vilos","none","1/29/2024","1/29/2024","",""
"-31.000127","-71.001406","none","none","Nueva Línea Nueva Pan de Azúcar - Punta Sierra - Los Pelambres 2x220 kV, 2x580 MVA","none","Obra Nueva Tx Nacional","11/1/2022","252","NUEVA PAN DE AZUCAR - PUNTA SIERRA - LOS PELAMBRES","CENTELLA TRANSMISIÓN S.A.","220","none","SEN","EN CONSTRUCCIÓN","COQUIMBO","ELQUI - CHOAPA","Andacollo-Los Vilos","none","1/29/2024","1/29/2024","",""
"-41.27492","-73.103685","none","none","Nueva Línea Nueva Puerto Montt - Nueva Ancud 2x500 kV 2x1500 MVA y Nuevo cruce aéreo 2x500 kV 2x1500 MVA, ambos energizados en 220 kV y S/E Nueva Ancud 220 kV","none","Obra Nueva Tx Nacional","11/1/2023","95.94","NUEVA PUERTO MONTT - NUEVA ANCUD","TRANSELEC S.A","500","none","SEN","EN CONSTRUCCIÓN","LOS LAGOS","LLANQUIHUE-CHILOÉ","Llanquihue-Ancud","none","1/29/2024","1/29/2024","",""
"-41.958641","-73.678598","none","none","Nueva Línea Nueva Puerto Montt - Nueva Ancud 2x500 kV 2x1500 MVA y Nuevo cruce aéreo 2x500 kV 2x1500 MVA, ambos energizados en 220 kV y S/E Nueva Ancud 220 kV","none","Obra Nueva Tx Nacional","11/1/2023","95.94","NUEVA PUERTO MONTT - NUEVA ANCUD","TRANSELEC S.A","500","none","SEN","EN CONSTRUCCIÓN","LOS LAGOS","LLANQUIHUE-CHILOÉ","Llanquihue-Ancud","none","1/29/2024","1/29/2024","",""
"-42.48189","-73.79059","none","none","Nueva Línea 2x220 kV Gamboa – Chonchi energizada en 110 kV, tendido del primer circuito","none","Obra Nueva Tx Zonal","4/14/2027","24","GAMBOA - CHONCHI","SOCIEDAD AUSTRAL DE TRANSMISION TRONCAL S.A.","220","none","SEN","EN CONSTRUCCIÓN","LOS LAGOS","Osorno-Llanquihue-Chiloé-Palena","Castro-Chonchi","none","1/29/2024","1/29/2024","",""
"-42.62716","-73.80614","none","none","Nueva Línea 2x220 kV Gamboa – Chonchi energizada en 110 kV, tendido del primer circuito","none","Obra Nueva Tx Zonal","4/14/2027","24","GAMBOA - CHONCHI","SOCIEDAD AUSTRAL DE TRANSMISION TRONCAL S.A.","220","none","SEN","EN CONSTRUCCIÓN","LOS LAGOS","Osorno-Llanquihue-Chiloé-Palena","Castro-Chonchi","none","1/29/2024","1/29/2024","",""
"-20.80516","-69.71807","none","none","Nueva Línea 2x500 kV Nueva Lagunas - Kimal","none","Obra Nueva Tx Nacional","6/1/2027","180","NUEVA LAGUNAS - KIMAL","INTERCONEXIÓN ELÉCTRICA S.A. (INTERCHHILE) ISA","500","none","SEN","EN CONSTRUCCIÓN","ANTOFAGASTA","ANTOFAGASTA-ANTOFAGASTA","Pozo Almonte-Maria Elena","none","1/29/2024","1/29/2024","",""
"-22.300856","-69.481113","none","none","Nueva Línea 2x500 kV Nueva Lagunas - Kimal","none","Obra Nueva Tx Nacional","6/1/2027","180","NUEVA LAGUNAS - KIMAL","INTERCONEXIÓN ELÉCTRICA S.A. (INTERCHHILE) ISA","500","none","SEN","EN CONSTRUCCIÓN","ANTOFAGASTA","ANTOFAGASTA-ANTOFAGASTA","Pozo Almonte-Maria Elena","none","1/29/2024","1/29/2024","",""
