Unnamed: 0,x,y,ID_LIN_TRA,SUBTIPO,NOMBRE,CIRCUITO,TIPO,F_OPERACIO,LONG_KM,TRAMO,PROPIEDAD,TENSION_KV,RCA,SIST_ELECT,ESTADO,REGION,PROVINCIA,COMUNA,FUENTES_BAS,FECH_CREA,FECH_ACT,Shape_STLe,geometry
12,-34.347721,-71.613139,none,none,Nueva Linea 1x66 kV Portezuelo - Alcones,none,Obra Nueva Tx Zonal,4/1/2025,13.4,PORTEZUELO - ALCONES,Empresa Electrica Cordillera SpA,66.0,Cardenal Caro-Cachapoal-Colchagua,Marchihue,EN CONSTRUCCION,O'HIGGINS,Cardenal Caro-Cachapoal-Colchagua,Marchihue,none,1/29/2024,1/29/2024,,
13,-34.39717,-71.724981,none,none,Nueva Linea 1x66 kV Portezuelo - Alcones,none,Obra Nueva Tx Zonal,4/1/2025,13.4,PORTEZUELO - ALCONES,Empresa Electrica Cordillera SpA,66.0,Cardenal Caro-Cachapoal-Colchagua,Marchihue,EN CONSTRUCCION,O'HIGGINS,Cardenal Caro-Cachapoal-Colchagua,Marchihue,none,1/29/2024,1/29/2024,,
14,,,,,nan,,,,,,,,,,,,,,,,,,
15,-27.089338,-70.802977,none,none,Nueva Linea 2x110 kV desde S/E Caldera a Linea 1x110 kV Cardones - Punta Padrones,none,Obra Nueva Tx Zonal,4/1/2025,2.0,CARDONES - PUNTA PADRONES,,110.0,none,SEN,EN CONSTRUCCION,ATACAMA,Chaqaral-Copiapó-Huasco,Caldera,none,1/29/2024,1/29/2024,,
16,-27.078543,-70.830775,none,none,Nueva Linea 2x110 kV desde S/E Caldera a Linea 1x110 kV Cardones - Punta Padrones,none,Obra Nueva Tx Zonal,4/1/2025,2.0,CARDONES - PUNTA PADRONES,,110.0,none,SEN,EN CONSTRUCCION,ATACAMA,Chaqaral-Copiapó-Huasco,Caldera,none,1/29/2024,1/29/2024,,
17,,,,,nan,,,,,,,,,,,,,,,,,,
18,-34.108797,-70.781267,none,none,Nueva Linea 2x220 kV Candelaria - Nueva Tuniche y S/E Nueva Tuniche 220 kV,none,Obra Nueva Tx Zonal,1/1/2025,20.5,CANDELARIA - NUEVA TUNICHE,TRANSELEC S.A,220.0,none,SEN,EN CONSTRUCCION,O'HIGGINS,Cardenal Caro-Cachapoal-Colchagua,Graneros-Mostazal-Codegua,none,1/29/2024,1/29/2024,,
19,-34.03424,-70.61179,none,none,Nueva Linea 2x220 kV Candelaria - Nueva Tuniche y S/E Nueva Tuniche 220 kV,none,Obra Nueva Tx Zonal,1/1/2025,20.5,CANDELARIA - NUEVA TUNICHE,TRANSELEC S.A,220.0,none,SEN,EN CONSTRUCCION,O'HIGGINS,Cardenal Caro-Cachapoal-Colchagua,Graneros-Mostazal-Codegua,none,1/29/2024,1/29/2024,,
20,,,,,nan,,,,,,,,,,,,,,,,,,
21,-30.546382,-71.493438,none,none,Nueva Linea 2x220 kV Don Goyo - La Ruca,none,Obra Nueva Tx Zonal,6/1/2026,38.3,DON GOYO - LA RUCA,GOYO TRANSMISORA DE ENERGIA S.A.,220.0,none,SEN,EN CONSTRUCCION,COQUIMBO,Elquí-Limarí-Choapa,Ovalle-Coquimbo,none,1/29/2024,1/29/2024,,
22,-30.476825,-71.155174,none,none,Nueva Linea 2x220 kV Don Goyo - La Ruca,none,Obra Nueva Tx Zonal,6/1/2026,38.3,DON GOYO - LA RUCA,GOYO TRANSMISORA DE ENERGIA S.A.,220.0,none,SEN,EN CONSTRUCCION,COQUIMBO,Elquí-Limarí-Choapa,Ovalle-Coquimbo,none,1/29/2024,1/29/2024,,
23,,,,,nan,,,,,,,,,,,,,,,,,,
24,-35.139765,-71.368341,none,none,Nueva Linea 2x220 kV Itahue - Mataquito,none,Obra Nueva Tx Zonal,8/31/2023,48.0,ITAHUE - MATAQUITO,CELEO REDES S.A,220.0,none,SEN,EN CONSTRUCCION,MAULE,Curicó-Curicó,Molina-Curicó,none,1/29/2024,1/29/2024,,
25,-34.985822315491,-71.78685764622,none,none,Nueva Linea 2x220 kV Itahue - Mataquito,none,Obra Nueva Tx Zonal,8/31/2023,48.0,ITAHUE - MATAQUITO,CELEO REDES S.A,220.0,none,SEN,EN CONSTRUCCION,MAULE,Curicó-Curicó,Molina-Curicó,none,1/29/2024,1/29/2024,,
26,,,,,nan,,,,,,,,,,,,,,,,,,
27,-20.814227,-69.692462,none,none,"Nueva Linea 2x220 kV Lagunas - Nueva Pozo Almonte, Tendido primer circuito",none,Obra Nueva Tx Nacional,1/1/2025,62.7,LAGUNAS - NUEVO POZO ALMONTE,TRANSELEC S.A,220.0,none,SEN,EN CONSTRUCCION,TARAPACÁ,Iquique-Tamarugal,Pozo Almonte,none,1/29/2024,1/29/2024,,
28,-20.31434,-69.74725,none,none,"Nueva Linea 2x220 kV Lagunas - Nueva Pozo Almonte, Tendido primer circuito",none,Obra Nueva Tx Nacional,1/1/2025,62.7,LAGUNAS - NUEVO POZO ALMONTE,TRANSELEC S.A,220.0,none,SEN,EN CONSTRUCCION,TARAPACÁ,Iquique-Tamarugal,Pozo Almonte,none,1/29/2024,1/29/2024,,
29,,,,,nan,,,,,,,,,,,,,,,,,,
30,-35.000171135583,-71.799118760302,none,none,Nueva Linea 2x220 kV Mataquito – Nueva Nirivilo – Nueva Cauquenes – Dichato - Hualqui,none,Obra Nueva Tx Zonal,8/31/2024,250.0,MATAQUITO - NUEVA NIRIVILO - NUEVA CAUQUENES - DICHATO - HUALQUI,CELEO REDES S.A,220.0,none,SEN,EN CONSTRUCCION,MAULE,Curicó-Concepción,Hualañé-Hualqui,none,1/29/2024,1/29/2024,,
31,-37.004450814833,-72.919232877168,none,none,Nueva Linea 2x220 kV Mataquito – Nueva Nirivilo – Nueva Cauquenes – Dichato - Hualqui,none,Obra Nueva Tx Zonal,8/31/2024,250.0,MATAQUITO - NUEVA NIRIVILO - NUEVA CAUQUENES - DICHATO - HUALQUI,CELEO REDES S.A,220.0,none,SEN,EN CONSTRUCCION,MAULE,Curicó-Concepción,Hualañé-Hualqui,none,1/29/2024,1/29/2024,,
32,,,,,nan,,,,,,,,,,,,,,,,,,
33,-33.08738,-71.627066,none,none,Nueva Linea 2x220 kV Nueva Alto Melipilla - Nueva Casablanca - La Polvora - Agua Santa,none,Obra Nueva Tx Zonal,8/31/2024,108.84,NUEVA ALTO MELIPILLA - NUEVA CASABLANCA - LA POLVORA - AGUA SANTA,Casablanca Transmisora de Energia S.A.,220.0,none,SEN,EN CONSTRUCCION,INTERREGIONAL,,Viña del Mar-San Antonio-Casablanca-Valparaíso-Cartagena-Melipilla,none,1/29/2024,1/29/2024,,
34,-33.31484,-71.42512,none,none,Nueva Linea 2x220 kV Nueva Alto Melipilla - Nueva Casablanca - La Polvora - Agua Santa,none,Obra Nueva Tx Zonal,8/31/2024,108.84,NUEVA ALTO MELIPILLA - NUEVA CASABLANCA - LA POLVORA - AGUA SANTA,Casablanca Transmisora de Energia S.A.,220.0,none,SEN,EN CONSTRUCCION,INTERREGIONAL,,Viña del Mar-San Antonio-Casablanca-Valparaíso-Cartagena-Melipilla,none,1/29/2024,1/29/2024,,
35,,,,,nan,,,,,,,,,,,,,,,,,,
36,-25.081571,-69.883306,none,none,"Nueva Linea 2x500 kV Parinas - Likanantai, Energizada en 220 kV",none,Obra Nueva Tx Nacional,1/1/2025,123.0,PARINAS - LIKANANTAI,TRANSELEC S.A,500.0,none,SEN,EN CONSTRUCCION,ANTOFAGASTA,ANTOFAGASTA-ANTOFAGASTA,Taltal-Taltal,none,1/29/2024,1/29/2024,,
37,-24.224574,-68.840643,none,none,"Nueva Linea 2x500 kV Parinas - Likanantai, Energizada en 220 kV",none,Obra Nueva Tx Nacional,1/1/2025,123.0,PARINAS - LIKANANTAI,TRANSELEC S.A,500.0,none,SEN,EN CONSTRUCCION,ANTOFAGASTA,ANTOFAGASTA-ANTOFAGASTA,Taltal-Taltal,none,1/29/2024,1/29/2024,,
38,,,,,nan,,,,,,,,,,,,,,,,,,
39,-36.600486446261,-72.922962471145,none,none,Nueva Linea 2x66 kV Dichato - Tome,none,Obra Nueva Tx Zonal,8/31/2024,5.0,DICHATO - TOMÉ,CELEO REDES S.A,66.0,none,SEN,EN CONSTRUCCION,BIOBIO,Concepción-Concepción,Tomé-Tomé,none,1/29/2024,1/29/2024,,
40,-36.631486837559,-72.949161030468,none,none,Nueva Linea 2x66 kV Dichato - Tome,none,Obra Nueva Tx Zonal,8/31/2024,5.0,DICHATO - TOMÉ,CELEO REDES S.A,66.0,none,SEN,EN CONSTRUCCION,BIOBIO,Concepción-Concepción,Tomé-Tomé,none,1/29/2024,1/29/2024,,
41,,,,,nan,,,,,,,,,,,,,,,,,,
42,-37.006508273601,-72.908767141822,none,none,Nueva Linea 2x66 kV Hualqui - Chiguayante,none,Obra Nueva Tx Zonal,8/31/2024,18.0,HUALQUI - CHIGUAYANTE,CELEO REDES S.A,66.0,none,SEN,EN CONSTRUCCION,BIOBIO,Concepción-Concepción,Hualqui-Concepción,none,1/29/2024,1/29/2024,,
43,-36.910038398946,-73.033249927026,none,none,Nueva Linea 2x66 kV Hualqui - Chiguayante,none,Obra Nueva Tx Zonal,8/31/2024,18.0,HUALQUI - CHIGUAYANTE,CELEO REDES S.A,66.0,none,SEN,EN CONSTRUCCION,BIOBIO,Concepción-Concepción,Hualqui-Concepción,none,1/29/2024,1/29/2024,,
44,,,,,nan,,,,,,,,,,,,,,,,,,
45,-37.439202,-72.319611,none,none,Nueva Linea 2x66 kV Los Varones – El Avellano,none,Obra Nueva Tx Zonal,8/31/2022,1.0,LOS VARONES - EL AVELLANO,BESALCO TRANSMISION SPA,66.0,none,SEN,EN CONSTRUCCION,BIOBIO,Biobío-Biobío,Los Ángeles-Los Ángeles,none,1/29/2024,1/29/2024,,
46,-37.442044,-72.329079,none,none,Nueva Linea 2x66 kV Los Varones – El Avellano,none,Obra Nueva Tx Zonal,8/31/2022,1.0,LOS VARONES - EL AVELLANO,BESALCO TRANSMISION SPA,66.0,none,SEN,EN CONSTRUCCION,BIOBIO,Biobío-Biobío,Los Ángeles-Los Ángeles,none,1/29/2024,1/29/2024,,
47,,,,,nan,,,,,,,,,,,,,,,,,,
48,-35.962383490174,-72.30352867418,none,none,Nueva Linea 2x66 kV Nueva Cauquenes - Cauquenes,none,Obra Nueva Tx Zonal,8/31/2024,0.5,NUEVA CAUQUENES - CAUQUENES,CELEO REDES S.A,66.0,none,SEN,EN CONSTRUCCION,MAULE,Cauquenes-Cauquenes,Cauquenes-Cauquenes,none,1/29/2024,1/29/2024,,
49,-35.962204831435,-72.303788183899,none,none,Nueva Linea 2x66 kV Nueva Cauquenes - Cauquenes,none,Obra Nueva Tx Zonal,8/31/2024,0.5,NUEVA CAUQUENES - CAUQUENES,CELEO REDES S.A,66.0,none,SEN,EN CONSTRUCCION,MAULE,Cauquenes-Cauquenes,Cauquenes-Cauquenes,none,1/29/2024,1/29/2024,,
50,,,,,nan,,,,,,,,,,,,,,,,,,
51,-35.553882087835,-72.106106077596,none,none,"Nueva Linea 2x66 kV Nueva Nirivilo – Constitucion, tendido del primer circuito",none,Obra Nueva Tx Zonal,6/1/2024,35.6,NUEVA NIRIVILO - CONSTITUCIÓN,Nirivilo Transmisora de Energia S.A.,66.0,none,SEN,EN CONSTRUCCION,MAULE,Curicó-Talca-Cauquenes-Linares,Constitución-San Javier,none,1/29/2024,1/29/2024,,
52,-35.36394,-72.402619,none,none,"Nueva Linea 2x66 kV Nueva Nirivilo – Constitucion, tendido del primer circuito",none,Obra Nueva Tx Zonal,6/1/2024,35.6,NUEVA NIRIVILO - CONSTITUCIÓN,Nirivilo Transmisora de Energia S.A.,66.0,none,SEN,EN CONSTRUCCION,MAULE,Curicó-Talca-Cauquenes-Linares,Constitución-San Javier,none,1/29/2024,1/29/2024,,
53,,,,,nan,,,,,,,,,,,,,,,,,,
54,-31.919687,-70.84009,none,none,Nueva Linea 4x220 kV desde S/E Nueva Los Pelambres a Seccionamiento del segmento de la Linea 2x220 kV Los Piuquenes - Tap Mauro,none,Obra Nueva Tx Nacional,1/1/2024,3.1,NUEVA LOS PELAMBRES - LOS PIUQUENES,CONSORCIO FERROVIAL,220.0,none,SEN,EN CONSTRUCCION,COQUIMBO,CHOAPA - CHOAPA,Salamanca-Salamanca,none,1/29/2024,1/29/2024,,
55,-31.901704,-70.857876,none,none,Nueva Linea 4x220 kV desde S/E Nueva Los Pelambres a Seccionamiento del segmento de la Linea 2x220 kV Los Piuquenes - Tap Mauro,none,Obra Nueva Tx Nacional,1/1/2024,3.1,NUEVA LOS PELAMBRES - LOS PIUQUENES,CONSORCIO FERROVIAL,220.0,none,SEN,EN CONSTRUCCION,COQUIMBO,CHOAPA - CHOAPA,Salamanca-Salamanca,none,1/29/2024,1/29/2024,,
56,,,,,nan,,,,,,,,,,,,,,,,,,
57,-22.303036462417,-69.480995178223,none,none,Nueva Linea HVDC Kimal - Lo Aguirre,none,Obra Nueva Tx Nacional,5/1/2029,1342.0,KIMAL - LO AGUIRRE,Conexion Kimal Lo Aguirre S.A,220.0,none,SEN,EN CONSTRUCCION,INTERREGIONAL,,,none,1/29/2024,1/29/2024,,
58,-33.440751,-70.896533,none,none,Nueva Linea HVDC Kimal - Lo Aguirre,none,Obra Nueva Tx Nacional,5/1/2029,1342.0,KIMAL - LO AGUIRRE,Conexion Kimal Lo Aguirre S.A,220.0,none,SEN,EN CONSTRUCCION,INTERREGIONAL,,,none,1/29/2024,1/29/2024,,
59,,,,,nan,,,,,,,,,,,,,,,,,,
60,-28.534413,-70.924449,none,none,"Nueva Linea Nueva Maitencillo - Punta Colorada - Nueva Pan de Azucar 2x220 kV, 2x500 MVA",none,Obra Nueva Tx Nacional,4/1/2022,202.0,NUEVA MAITENCILLO - PUNTA COLORADA - NUEVA PAN DE AZÚCAR,ELETRANS III S.A,220.0,none,SEN,EN CONSTRUCCION,INTERREGIONAL,,,none,1/29/2024,1/29/2024,,
61,-30.119762,-71.218304,none,none,"Nueva Linea Nueva Maitencillo - Punta Colorada - Nueva Pan de Azucar 2x220 kV, 2x500 MVA",none,Obra Nueva Tx Nacional,4/1/2022,202.0,NUEVA MAITENCILLO - PUNTA COLORADA - NUEVA PAN DE AZÚCAR,ELETRANS III S.A,220.0,none,SEN,EN CONSTRUCCION,INTERREGIONAL,,,none,1/29/2024,1/29/2024,,
62,,,,,nan,,,,,,,,,,,,,,,,,,
63,-30.119653,-71.219996,none,none,"Nueva Linea Nueva Pan de Azucar - Punta Sierra - Los Pelambres 2x220 kV, 2x580 MVA",none,Obra Nueva Tx Nacional,11/1/2022,252.0,NUEVA PAN DE AZUCAR - PUNTA SIERRA - LOS PELAMBRES,CENTELLA TRANSMISION S.A.,220.0,none,SEN,EN CONSTRUCCION,COQUIMBO,ELQUI - CHOAPA,Andacollo-Los Vilos,none,1/29/2024,1/29/2024,,
64,-31.000127,-71.001406,none,none,"Nueva Linea Nueva Pan de Azucar - Punta Sierra - Los Pelambres 2x220 kV, 2x580 MVA",none,Obra Nueva Tx Nacional,11/1/2022,252.0,NUEVA PAN DE AZUCAR - PUNTA SIERRA - LOS PELAMBRES,CENTELLA TRANSMISION S.A.,220.0,none,SEN,EN CONSTRUCCION,COQUIMBO,ELQUI - CHOAPA,Andacollo-Los Vilos,none,1/29/2024,1/29/2024,,
65,,,,,nan,,,,,,,,,,,,,,,,,,
66,-41.27492,-73.103685,none,none,"Nueva Linea Nueva Puerto Montt - Nueva Ancud 2x500 kV 2x1500 MVA y Nuevo cruce aereo 2x500 kV 2x1500 MVA, ambos energizados en 220 kV y S/E Nueva Ancud 220 kV",none,Obra Nueva Tx Nacional,11/1/2023,95.94,NUEVA PUERTO MONTT - NUEVA ANCUD,TRANSELEC S.A,500.0,none,SEN,EN CONSTRUCCION,LOS LAGOS,LLANQUIHUE-CHILOÉ,Llanquihue-Ancud,none,1/29/2024,1/29/2024,,
67,-41.958641,-73.678598,none,none,"Nueva Linea Nueva Puerto Montt - Nueva Ancud 2x500 kV 2x1500 MVA y Nuevo cruce aereo 2x500 kV 2x1500 MVA, ambos energizados en 220 kV y S/E Nueva Ancud 220 kV",none,Obra Nueva Tx Nacional,11/1/2023,95.94,NUEVA PUERTO MONTT - NUEVA ANCUD,TRANSELEC S.A,500.0,none,SEN,EN CONSTRUCCION,LOS LAGOS,LLANQUIHUE-CHILOÉ,Llanquihue-Ancud,none,1/29/2024,1/29/2024,,
68,,,,,nan,,,,,,,,,,,,,,,,,,
69,-42.48189,-73.79059,none,none,"Nueva Linea 2x220 kV Gamboa – Chonchi energizada en 110 kV, tendido del primer circuito",none,Obra Nueva Tx Zonal,4/14/2027,24.0,GAMBOA - CHONCHI,SOCIEDAD AUSTRAL DE TRANSMISION TRONCAL S.A.,220.0,none,SEN,EN CONSTRUCCION,LOS LAGOS,Osorno-Llanquihue-Chiloé-Palena,Castro-Chonchi,none,1/29/2024,1/29/2024,,
70,-42.62716,-73.80614,none,none,"Nueva Linea 2x220 kV Gamboa – Chonchi energizada en 110 kV, tendido del primer circuito",none,Obra Nueva Tx Zonal,4/14/2027,24.0,GAMBOA - CHONCHI,SOCIEDAD AUSTRAL DE TRANSMISION TRONCAL S.A.,220.0,none,SEN,EN CONSTRUCCION,LOS LAGOS,Osorno-Llanquihue-Chiloé-Palena,Castro-Chonchi,none,1/29/2024,1/29/2024,,
71,,,,,nan,,,,,,,,,,,,,,,,,,
72,-20.80516,-69.71807,none,none,Nueva Linea 2x500 kV Nueva Lagunas - Kimal,none,Obra Nueva Tx Nacional,6/1/2027,180.0,NUEVA LAGUNAS - KIMAL,INTERCONEXION ELECTRICA S.A. (INTERCHHILE) ISA,500.0,none,SEN,EN CONSTRUCCION,ANTOFAGASTA,ANTOFAGASTA-ANTOFAGASTA,Pozo Almonte-Maria Elena,none,1/29/2024,1/29/2024,,
73,-22.300856,-69.481113,none,none,Nueva Linea 2x500 kV Nueva Lagunas - Kimal,none,Obra Nueva Tx Nacional,6/1/2027,180.0,NUEVA LAGUNAS - KIMAL,INTERCONEXION ELECTRICA S.A. (INTERCHHILE) ISA,500.0,none,SEN,EN CONSTRUCCION,ANTOFAGASTA,ANTOFAGASTA-ANTOFAGASTA,Pozo Almonte-Maria Elena,none,1/29/2024,1/29/2024,,
74,,,,,nan,,,,,,,,,,,,,,,,,,
75,-35.962383490174,-72.30352867,none,none,Nueva Linea 2x66 kV Nueva Cauquenes - Parral,none,Obra Nueva Tx Zonal,8/31/2024,51.0,NUEVA CAUQUENES - PARRAL,CELEO REDES S.A,66.0,none,SEN,EN CONSTRUCCION,MAULE,Cauquenes-Linares,Cauquenes-Parral,none,1/29/2024,1/29/2024,,
76,-36.132846,-71.805093,none,none,Nueva Linea 2x66 kV Nueva Cauquenes - Parral,none,Obra Nueva Tx Zonal,8/31/2024,51.0,NUEVA CAUQUENES - PARRAL,CELEO REDES S.A,66.0,none,SEN,EN CONSTRUCCION,MAULE,Cauquenes-Linares,Cauquenes-Parral,none,1/29/2024,1/29/2024,,
77,,,,,nan,,,,,,,,,,,,,,,,,,
78,-39.842475,-73.197619,none,none,"Nueva linea 2x66 kV Nueva Valdivia - Picarte, tendido del primer circuito",none,Obra Nueva Tx Zonal,3/31/2024,3.2,NUEVA VALDIVIA - PICARTE,SOCIEDAD AUSTRAL DE TRANSMISION TRONCAL S.A.,66.0,none,SEN,EN CONSTRUCCION,LOS RIOS,Valdivia-Ranco,Valdivia,none,1/29/2024,1/29/2024,,
79,-39.830302,-73.223452,none,none,"Nueva linea 2x66 kV Nueva Valdivia - Picarte, tendido del primer circuito",none,Obra Nueva Tx Zonal,3/31/2024,3.2,NUEVA VALDIVIA - PICARTE,SOCIEDAD AUSTRAL DE TRANSMISION TRONCAL S.A.,66.0,none,SEN,EN CONSTRUCCION,LOS RIOS,Valdivia-Ranco,Valdivia,none,1/29/2024,1/29/2024,,
80,,,,,nan,,,,,,,,,,,,,,,,,,
81,-34.37241,-70.76034,none,none,Nueva Linea 2x66 kV Totihue - Rosario,none,Obra Nueva Tx Zonal,6/1/2026,12.0,TOTIHUE - ROSARIO,Engie Energia Chile S.A.,66.0,none,SEN,EN CONSTRUCCION,O'HIGGINS,Cardenal Caro-Cachapoal-Colchagua,Rengo-Requinoa,none,1/29/2024,1/29/2024,,
82,-34.347746,-70.825505,none,none,Nueva Linea 2x66 kV Totihue - Rosario,none,Obra Nueva Tx Zonal,6/1/2026,12.0,TOTIHUE - ROSARIO,Engie Energia Chile S.A.,66.0,none,SEN,EN CONSTRUCCION,O'HIGGINS,Cardenal Caro-Cachapoal-Colchagua,Rengo-Requinoa,none,1/29/2024,1/29/2024,,
83,,,,,nan,,,,,,,,,,,,,,,,,,
84,-34.033078,-71.540493,none,none,Nueva Linea 2x220 kV Loica – Portezuelo,none,Obra Nueva Tx Zonal,6/1/2024,45.0,LOICA - PORTEZUELO,Colbun S.A.,220.0,none,SEN,EN CONSTRUCCION,O'HIGGINS,Cardenal Caro-Cachapoal-Colchagua,Litueche-La Estrella-Marchihue,none,1/29/2024,1/29/2024,,
85,-34.347638,-71.613041,none,none,Nueva Linea 2x220 kV Loica – Portezuelo,none,Obra Nueva Tx Zonal,6/1/2024,45.0,LOICA - PORTEZUELO,Colbun S.A.,220.0,none,SEN,EN CONSTRUCCION,O'HIGGINS,Cardenal Caro-Cachapoal-Colchagua,Litueche-La Estrella-Marchihue,none,1/29/2024,1/29/2024,,
86,,,,,nan,,,,,,,,,,,,,,,,,,
87,-33.38174853182,-71.640721815423,none,none,Nueva Linea 1x66 kV Algarrobo - Los Poetas,none,Obra Nueva Tx Zonal,10/1/2024,7.5,ALGARROBO - LOS POETAS,COMPANIA TRANSMISORA DEL NORTE GRANDE S.A.,66.0,none,SEN,EN CONSTRUCCION,VALPARAISO,Petorca-San Felipe-Los Andes-Quillota-Valparaíso-San Antonio-Isla de Pascua-Marga Marga,Algarrobo,none,1/29/2024,1/29/2024,,
88,-33.368058297387,-71.591739448768,none,none,Nueva Linea 1x66 kV Algarrobo - Los Poetas,none,Obra Nueva Tx Zonal,10/1/2024,7.5,ALGARROBO - LOS POETAS,COMPANIA TRANSMISORA DEL NORTE GRANDE S.A.,66.0,none,SEN,EN CONSTRUCCION,VALPARAISO,Petorca-San Felipe-Los Andes-Quillota-Valparaíso-San Antonio-Isla de Pascua-Marga Marga,Algarrobo,none,1/29/2024,1/29/2024,,
