Unnamed: 0,ID_LIN_TRA,NOMBRE,CIRCUITO,TRAMO,PROPIEDAD,TENSION_KV,LONG_KM,ESTADO,F_OPERACIO,FECH_ACT,PROVINCIA,Latitud,Longitud
0,433.0,VICTORIA - PILLANLELBUN 66KV,C1,VICTORIA - PILLANLELBUN,CGE TRANSMISION S.A.,66.0,32.74,EN OPERACION,1957-01-01,2023-04-20,CAUTIN-MALLECO,-38.63634362999994,-72.47188786999999
1,433.0,VICTORIA - PILLANLELBUN 66KV,C1,VICTORIA - PILLANLELBUN,CGE TRANSMISION S.A.,66.0,32.74,EN OPERACION,1957-01-01,2023-04-20,CAUTIN-MALLECO,-38.635420959999976,-72.47081085999997
2,433.0,VICTORIA - PILLANLELBUN 66KV,C1,VICTORIA - PILLANLELBUN,CGE TRANSMISION S.A.,66.0,32.74,EN OPERACION,1957-01-01,2023-04-20,CAUTIN-MALLECO,-38.63364706999994,-72.46882005999998
3,433.0,VICTORIA - PILLANLELBUN 66KV,C1,VICTORIA - PILLANLELBUN,CGE TRANSMISION S.A.,66.0,32.74,EN OPERACION,1957-01-01,2023-04-20,CAUTIN-MALLECO,-38.632515609999984,-72.46754336999999
4,433.0,VICTORIA - PILLANLELBUN 66KV,C1,VICTORIA - PILLANLELBUN,CGE TRANSMISION S.A.,66.0,32.74,EN OPERACION,1957-01-01,2023-04-20,CAUTIN-MALLECO,-38.63102596999994,-72.46584985999993
5,433.0,VICTORIA - PILLANLELBUN 66KV,C1,VICTORIA - PILLANLELBUN,CGE TRANSMISION S.A.,66.0,32.74,EN OPERACION,1957-01-01,2023-04-20,CAUTIN-MALLECO,-38.62941396999997,-72.46402415999995
6,433.0,VICTORIA - PILLANLELBUN 66KV,C1,VICTORIA - PILLANLELBUN,CGE TRANSMISION S.A.,66.0,32.74,EN OPERACION,1957-01-01,2023-04-20,CAUTIN-MALLECO,-38.62831185999994,-72.46277334999996
7,433.0,VICTORIA - PILLANLELBUN 66KV,C1,VICTORIA - PILLANLELBUN,CGE TRANSMISION S.A.,66.0,32.74,EN OPERACION,1957-01-01,2023-04-20,CAUTIN-MALLECO,-38.62674190999997,-72.46099867999999
8,433.0,VICTORIA - PILLANLELBUN 66KV,C1,VICTORIA - PILLANLELBUN,CGE TRANSMISION S.A.,66.0,32.74,EN OPERACION,1957-01-01,2023-04-20,CAUTIN-MALLECO,-38.62531470999994,-72.45937994999997
9,433.0,VICTORIA - PILLANLELBUN 66KV,C1,VICTORIA - PILLANLELBUN,CGE TRANSMISION S.A.,66.0,32.74,EN OPERACION,1957-01-01,2023-04-20,CAUTIN-MALLECO,-38.62328878999995,-72.45708241999995
10,433.0,VICTORIA - PILLANLELBUN 66KV,C1,VICTORIA - PILLANLELBUN,CGE TRANSMISION S.A.,66.0,32.74,EN OPERACION,1957-01-01,2023-04-20,CAUTIN-MALLECO,-38.62197960999998,-72.45559817999998
11,433.0,VICTORIA - PILLANLELBUN 66KV,C1,VICTORIA - PILLANLELBUN,CGE TRANSMISION S.A.,66.0,32.74,EN OPERACION,1957-01-01,2023-04-20,CAUTIN-MALLECO,-38.620457199999976,-72.45385141999998
12,433.0,VICTORIA - PILLANLELBUN 66KV,C1,VICTORIA - PILLANLELBUN,CGE TRANSMISION S.A.,66.0,32.74,EN OPERACION,1957-01-01,2023-04-20,CAUTIN-MALLECO,-38.61846589999993,-72.45366472999996
13,433.0,VICTORIA - PILLANLELBUN 66KV,C1,VICTORIA - PILLANLELBUN,CGE TRANSMISION S.A.,66.0,32.74,EN OPERACION,1957-01-01,2023-04-20,CAUTIN-MALLECO,-38.616511859999946,-72.45345157999998
14,433.0,VICTORIA - PILLANLELBUN 66KV,C1,VICTORIA - PILLANLELBUN,CGE TRANSMISION S.A.,66.0,32.74,EN OPERACION,1957-01-01,2023-04-20,CAUTIN-MALLECO,-38.61454315999998,-72.45324342999999
15,433.0,VICTORIA - PILLANLELBUN 66KV,C1,VICTORIA - PILLANLELBUN,CGE TRANSMISION S.A.,66.0,32.74,EN OPERACION,1957-01-01,2023-04-20,CAUTIN-MALLECO,-38.61265593999997,-72.45304526999996
16,433.0,VICTORIA - PILLANLELBUN 66KV,C1,VICTORIA - PILLANLELBUN,CGE TRANSMISION S.A.,66.0,32.74,EN OPERACION,1957-01-01,2023-04-20,CAUTIN-MALLECO,-38.61078675999994,-72.45284406999997
17,433.0,VICTORIA - PILLANLELBUN 66KV,C1,VICTORIA - PILLANLELBUN,CGE TRANSMISION S.A.,66.0,32.74,EN OPERACION,1957-01-01,2023-04-20,CAUTIN-MALLECO,-38.60880267999994,-72.45263304999997
18,433.0,VICTORIA - PILLANLELBUN 66KV,C1,VICTORIA - PILLANLELBUN,CGE TRANSMISION S.A.,66.0,32.74,EN OPERACION,1957-01-01,2023-04-20,CAUTIN-MALLECO,-38.607092189999946,-72.45245391999998
19,433.0,VICTORIA - PILLANLELBUN 66KV,C1,VICTORIA - PILLANLELBUN,CGE TRANSMISION S.A.,66.0,32.74,EN OPERACION,1957-01-01,2023-04-20,CAUTIN-MALLECO,-38.60518168999994,-72.45225810999995
20,433.0,VICTORIA - PILLANLELBUN 66KV,C1,VICTORIA - PILLANLELBUN,CGE TRANSMISION S.A.,66.0,32.74,EN OPERACION,1957-01-01,2023-04-20,CAUTIN-MALLECO,-38.60325548999998,-72.45204919999998
21,433.0,VICTORIA - PILLANLELBUN 66KV,C1,VICTORIA - PILLANLELBUN,CGE TRANSMISION S.A.,66.0,32.74,EN OPERACION,1957-01-01,2023-04-20,CAUTIN-MALLECO,-38.60144261999994,-72.45185614999997
22,433.0,VICTORIA - PILLANLELBUN 66KV,C1,VICTORIA - PILLANLELBUN,CGE TRANSMISION S.A.,66.0,32.74,EN OPERACION,1957-01-01,2023-04-20,CAUTIN-MALLECO,-38.59948565999997,-72.45164959999994
23,433.0,VICTORIA - PILLANLELBUN 66KV,C1,VICTORIA - PILLANLELBUN,CGE TRANSMISION S.A.,66.0,32.74,EN OPERACION,1957-01-01,2023-04-20,CAUTIN-MALLECO,-38.59759249999996,-72.45144791999996
24,433.0,VICTORIA - PILLANLELBUN 66KV,C1,VICTORIA - PILLANLELBUN,CGE TRANSMISION S.A.,66.0,32.74,EN OPERACION,1957-01-01,2023-04-20,CAUTIN-MALLECO,-38.595289,-72.45121186999995
25,433.0,VICTORIA - PILLANLELBUN 66KV,C1,VICTORIA - PILLANLELBUN,CGE TRANSMISION S.A.,66.0,32.74,EN OPERACION,1957-01-01,2023-04-20,CAUTIN-MALLECO,-38.59364814999998,-72.45100758999996
26,433.0,VICTORIA - PILLANLELBUN 66KV,C1,VICTORIA - PILLANLELBUN,CGE TRANSMISION S.A.,66.0,32.74,EN OPERACION,1957-01-01,2023-04-20,CAUTIN-MALLECO,-38.58920250999995,-72.45059306999997
