,OBJECTID,ID_GE_TERM,NOMBRE,PROPIEDAD,TIPO,MEDIO_GENE,COMBUSTIBL,POTENCIAMW,UNIDADES,RCA,SIST_ELECT,ESTADO,F_OPERACIO,COORD_ESTE,COORD_NORT,HUSO,DATUM,REGION,PROVINCIA,COMUNA,FUENTE_BAS,FECH_CREA,FECH_ACT,geometry,Latitud,Longitud
137,2080,216,TALTAL,ENEL GENERACION CHILE,TERMOELECTRICA, ,GAS NATURAL,240.113,2,109/1998-67/2000-124/2000,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/31/1999 9:00 p. m.,352040,7235495,19 SUR,WGS 1984,ANTOFAGASTA,ANTOFAGASTA,TALTAL,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.46602453799994 -24.98877875127689),-24.98877875127689,-70.46602453799994
138,2081,218,TAPERA 1,EDELAYSEN,TERMOELECTRICA, ,S/I,0.09,1, ,LA TAPERA,OPERATIVA,,288051,5053176,19 SUR,WGS 1984,AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,COIHAYQUE,LAGO VERDE,SEREMIA AYSEN,9/29/2018 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.67265116599998 -44.64350051505678),-44.64350051505678,-71.67265116599998
139,2082,219,TAPERA 2,EDELAYSEN,TERMOELECTRICA, ,S/I,0.09,1, ,LA TAPERA,OPERATIVA,,288051,5053176,19 SUR,WGS 1984,AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,COIHAYQUE,LAGO VERDE,SEREMIA AYSEN,9/29/2018 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.67265116599998 -44.64350051505678),-44.64350051505678,-71.67265116599998
140,2083,220,TAPIHUE,TECNORED,TERMOELECTRICA,PMGD,GAS NATURAL,6.4,2,058/2012,SISTEMA ELECTRICO NACIONAL,OPERATIVA,8/26/2009 8:00 p. m.,277557,6309276,19 SUR,WGS 1984,VALPARAISO,VALPARAISO,CASABLANCA,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.38994810399998 -33.33272447513329),-33.33272447513329,-71.38994810399998
141,2084,222,TEHUELCHE,EDELAYSEN,TERMOELECTRICA, ,PETROLEO DIESEL,11.675,8,376/2008,SISTEMA ELECTRICO DE AYSEN,OPERATIVA,12/31/1992 9:00 p. m.,258141,4942921,19 SUR,WGS 1984,AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,COIHAYQUE,COIHAYQUE,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.10263394099997 -45.625109955057),-45.625109955057,-72.10263394099997
142,2085,229,TEHUELCHE PROVISORIA,EDELAYSEN,TERMOELECTRICA, ,PETROLEO DIESEL,5.0,1, ,SISTEMA ELECTRICO DE AYSEN,OPERATIVA,12/31/1992 9:00 p. m.,258168,4942956,19 SUR,WGS 1984,AYSEN DEL GENERAL CARLOS IBANEZ DEL CAMPO,COIHAYQUE,COIHAYQUE,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.10227072199996 -45.62480478605699),-45.62480478605699,-72.10227072199996
143,2086,234,TENO,ENLASA,TERMOELECTRICA, ,PETROLEO DIESEL,58.882,36,029/2017,SISTEMA ELECTRICO NACIONAL,OPERATIVA,5/6/2009 8:00 p. m.,304217,6139440,19 SUR,WGS 1984,MAULE,CURICO,TENO,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.14193426099996 -34.86856219611459),-34.86856219611459,-71.14193426099996
144,2087,235,TENO GAS,INERSA,TERMOELECTRICA, ,GAS NATURAL-GAS LICUADO,43.68,26,029/2017,SISTEMA ELECTRICO NACIONAL,OPERATIVA,2/12/2020 9:00 p. m.,304044,6139549,19 SUR,WGS 1984,MAULE,CURICO,TENO,COMISION NACIONAL DE ENERGIA,8/13/2018 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.14380026299995 -34.86754661511463),-34.86754661511463,-71.14380026299995
145,2088,236,ANGAMOS,EMPRESA ELECTICA ANGAMOS S.A.,TERMOELECTRICA, ,CARBON-PETCOKE,501.55,2,290/2007,SISTEMA ELECTRICO NACIONAL,OPERATIVA,4/10/2011 9:00 p. m.,359738,7448524,19 SUR,WGS 1984,ANTOFAGASTA,ANTOFAGASTA,MEJILLONES,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.36923150999998 -23.06593960331915),-23.06593960331915,-70.36923150999998
146,2089,237,COCHRANE,COCHRANE,TERMOELECTRICA, ,CARBON-PETCOKE,489.603,2,305/2009,SISTEMA ELECTRICO NACIONAL,OPERATIVA,7/8/2016 8:00 p. m.,360098,7448867,19 SUR,WGS 1984,ANTOFAGASTA,ANTOFAGASTA,MEJILLONES,COMISION NACIONAL DE ENERGIA,12/30/2009 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.36568671199996 -23.062872446319247),-23.062872446319247,-70.36568671199996
