,OBJECTID,ID_GE_HIDRO,NOMBRE,PROPIEDAD,TIPO,MEDIO_GENE,COMBUSTIBL,POTENCIAMW,UNIDADES,RCA,SIST_ELECT,ESTADO,F_OPERACIO,COORD_ESTE,COORD_NORT,HUSO,DATUM,REGION,PROVINCIA,COMUNA,FUENTE_BAS,FECH_CREA,FECH_ACT,geometry,Latitud,Longitud
28,1429,52,CIPRESES,ENEL GENERACION,HIDRAULICA EMBALSE, ,NO APLICA,96.6415,3, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/31/1954 8:00 p. m.,336627,6038213,19 SUR,WGS 1984,MAULE,TALCA,SAN CLEMENTE,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.80773147899998 -35.78659911210463),-35.78659911210463,-70.80773147899998
29,1430,53,CIPRESILLOS,ELECTRICA CIPRESILLOS SPA,HIDRAULICA PASADA, ,NO APLICA,11.85,2,038/2016,SISTEMA ELECTRICO NACIONAL,OPERATIVA,3/27/2023 9:00 p. m.,380250,6188300,19 SUR,WGS 1984,LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,MACHALI,COMISION NACIONAL DE ENERGIA,12/3/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.30344407799998 -34.43986950311954),-34.43986950311954,-70.30344407799998
30,1431,54,COLBUN,COLBUN S.A.,HIDRAULICA EMBALSE, ,NO APLICA,460.8,2, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/31/1984 9:00 p. m.,285422,6048273,19 SUR,WGS 1984,MAULE,LINARES,COLBUN,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.37124428899995 -35.68612401610563),-35.68612401610563,-71.37124428899995
31,1432,55,COLLIL,ENERGIA COLLIL S.A.,HIDRAULICA PASADA,PMGD,NO APLICA,6.997,2,551/2012,SISTEMA ELECTRICO NACIONAL,OPERATIVA,11/10/2014 9:00 p. m.,93213,5271940,19 SUR,WGS 1984,LOS LAGOS,CHILOE,CHONCHI,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.95798245299994 -42.59761069405992),-42.59761069405992,-73.95798245299994
32,1433,57,CONTRA,CONTRA,HIDRAULICA PASADA,PMGD,NO APLICA,0.328,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,6/27/2013 8:00 p. m.,170419,5523122,19 SUR,WGS 1984,LOS RIOS,RANCO,RIO BUENO,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.88205720499997 -40.37733305106874),-40.37733305106874,-72.88205720499997
33,1434,58,CONVENTO VIEJO,EMBALSE CONVENTO VIEJO S.A.,HIDRAULICA PASADA, ,NO APLICA,15.66,2,147/2007,SISTEMA ELECTRICO NACIONAL,OPERATIVA,2/20/2019 9:00 p. m.,305195,6150620,19 SUR,WGS 1984,LIBERTADOR GENERAL BERNARDO O'HIGGINS,COLCHAGUA,CHIMBARONGO,COMISION NACIONAL DE ENERGIA,8/10/2006 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.12864694199999 -34.76800202011575),-34.76800202011575,-71.12864694199999
34,1435,59,CORRENTOSO,HIDROPALMAR S.A.,HIDRAULICA PASADA,PMG,NO APLICA,8.38,1,380/2008,SISTEMA ELECTRICO NACIONAL,OPERATIVA,4/15/2020 8:00 p. m.,222377,5478896,19 SUR,WGS 1984,LOS LAGOS,OSORNO,PUYEHUE,COMISION NACIONAL DE ENERGIA,9/29/2007 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.29055471599997 -40.794026036066676),-40.794026036066676,-72.29055471599997
35,1436,60,COYA,PACIFIC HYDRO CHILE S.A.,HIDRAULICA PASADA, ,NO APLICA,11.9724,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,7/8/2008 8:00 p. m.,359437,6214070,19 SUR,WGS 1984,LIBERTADOR GENERAL BERNARDO O'HIGGINS,CACHAPOAL,MACHALI,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.52571066999997 -34.204922681122355),-34.204922681122355,-70.52571066999997
36,1437,61,CUCHILDEO,EPA S.A.,HIDRAULICA PASADA, ,NO APLICA,0.765,1, ,SISTEMA MEDIANO DE LOS LAGOS,OPERATIVA,12/31/2007 9:00 p. m.,211373,5348800,19 SUR,WGS 1984,LOS LAGOS,PALENA,HUALAIHUE,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.48267883699998 -41.95996430506185),-41.95996430506185,-72.48267883699998
37,1438,63,CUMBRES,CUMBRES S.A.,HIDRAULICA PASADA, ,NO APLICA,17.86,2,033/2015,SISTEMA ELECTRICO NACIONAL,OPERATIVA,9/27/2019 9:00 p. m.,228781,5495495,19 SUR,WGS 1984,LOS RIOS,RANCO,RIO BUENO,COMISION NACIONAL DE ENERGIA,8/21/2014 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.20758329399996 -40.646865000067386),-40.646865000067386,-72.20758329399996
38,1439,64,CUMPEO,HIDROELECTRICA CUMPEO S.A.,HIDRAULICA PASADA,PMGD,NO APLICA,5.75,1,156/2014,SISTEMA ELECTRICO NACIONAL,OPERATIVA,10/25/2016 9:00 p. m.,303402,6097481,19 SUR,WGS 1984,MAULE,CURICO,MOLINA,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.16078745799996 -35.24649547411038),-35.24649547411038,-71.16078745799996
39,1440,65,CURILEUFU,SOC. AGRICOLA Y GANADERA CURILEUFU LTDA.,HIDRAULICA PASADA,PMGD,NO APLICA,0.2197,2, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/31/2014 9:00 p. m.,199538,5522775,19 SUR,WGS 1984,LOS RIOS,RANCO,RIO BUENO,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.53988540599994 -40.39145396506866),-40.39145396506866,-72.53988540599994
40,1441,66,CURILLINQUE,EMPRESA ELECTRICA PEHUENCHE S.A.,HIDRAULICA PASADA, ,NO APLICA,91.77,1, ,SISTEMA ELECTRICO NACIONAL,OPERATIVA,12/31/1992 9:00 p. m.,324563,6035882,19 SUR,WGS 1984,MAULE,TALCA,SAN CLEMENTE,COMISION NACIONAL DE ENERGIA,6/29/2018 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.94166514499994 -35.805523417104425),-35.805523417104425,-70.94166514499994
