,OBJECTID,ID_GE_EOLIC,NOMBRE,PROPIEDAD,TIPO,MEDIO_GENE,COMBUSTIBL,POTENCIAMW,UNIDADES,RCA,SIST_ELECT,ESTADO,F_OPERACIO,COORD_ESTE,COORD_NORT,HUSO,DATUM,REGION,PROVINCIA,COMUNA,FUENTE_BAS,FECH_CREA,FECH_ACT,geometry
30,346,56,HUAJACHE,PROYECTO HUAJACHE SPA,EOLICO,PMGD,NO APLICA,5.9867,2,107/2012,SISTEMA ELECTRICO NACIONAL,OPERATIVA,11/24/2015 9:00 p. m.,97413,5812510,19 SUR,WGS 1984,BIOBIO,ARAUCO,LEBU,COMISION NACIONAL DE ENERGIA,3/30/2016 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-73.56848505699998 -37.74617156608644)
31,347,62,LA ESTRELLA,EOLICA LA ESTRELLA SPA,EOLICO, ,NO APLICA,49.1,11,187/2015,SISTEMA ELECTRICO NACIONAL,OPERATIVA,6/23/2021 8:00 p. m.,259741,6217840,19 SUR,WGS 1984,LIBERTADOR GENERAL BERNARDO O'HIGGINS,CARDENAL CARO,LA ESTRELLA,COMISION NACIONAL DE ENERGIA,7/26/2016 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.60601371099995 -34.15273632412299)
32,348,63,LA FLOR,SOCIEDAD VIENTOS DE RENAICO LTDA.,EOLICO, ,NO APLICA,32.4,9,1168/2014,SISTEMA ELECTRICO NACIONAL,OPERATIVA,6/15/2020 8:00 p. m.,182677,5824940,19 SUR,WGS 1984,LA ARAUCANIA,MALLECO,RENAICO,COMISION NACIONAL DE ENERGIA,8/2/2015 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.59749761999996 -37.667890277087075)
33,349,73,LLANOS DEL VIENTO,AR LLANOS DEL VIENTO SPA,EOLICO, ,NO APLICA,159.36,42,140/2019,SISTEMA ELECTRICO NACIONAL,OPERATIVA,3/30/2023 9:00 p. m.,401097,7370716,19 SUR,WGS 1984,ANTOFAGASTA,ANTOFAGASTA,ANTOFAGASTA,COMISION NACIONAL DE ENERGIA,12/30/2018 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-69.97065505799998 -23.771658042303248)
34,350,77,LOMAS DE DUQUECO,WPD CHILE SPA,EOLICO, ,NO APLICA,58.0,14,142/2018,SISTEMA ELECTRICO NACIONAL,OPERATIVA,8/2/2022 8:00 p. m.,200333,5841378,19 SUR,WGS 1984,BIOBIO,BIO-BIO,LOS ANGELES,COMISION NACIONAL DE ENERGIA,7/26/2016 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.39093636599995 -37.525919943088255)
35,351,79,LOS OLMOS,INVERSIONES BOSQUEMAR LTDA.,EOLICO, ,NO APLICA,107.4634,23,140/2016,SISTEMA ELECTRICO NACIONAL,OPERATIVA,1/18/2022 9:00 p. m.,195033,5825530,19 SUR,WGS 1984,BIOBIO,BIO-BIO,MULCHEN,COMISION NACIONAL DE ENERGIA,7/26/2016 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.45740955199996 -37.666769716087096)
36,352,83,MESAMAVIDA,ENERGIA EOLICA MESAMAVIDA SPA,EOLICO, ,NO APLICA,55.73,14,012/2015,SISTEMA ELECTRICO NACIONAL,OPERATIVA,7/28/2022 8:00 p. m.,193644,5841968,19 SUR,WGS 1984,BIOBIO,BIO-BIO,LOS ANGELES,COMISION NACIONAL DE ENERGIA,8/2/2015 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.46625560399997 -37.51841528608835)
37,353,84,MONTE REDONDO,EOLICA MONTE REDONDO S.A.,EOLICO, ,NO APLICA,47.52,24,228/2007,SISTEMA ELECTRICO NACIONAL,OPERATIVA,1/5/2010 9:00 p. m.,248395,6559364,19 SUR,WGS 1984,COQUIMBO,LIMARI,OVALLE,COMISION NACIONAL DE ENERGIA,12/9/2014 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-71.63710555299997 -31.072585013165376)
38,354,87,NEGRETE,WPD NEGRETE SPA,EOLICO, ,NO APLICA,35.34,10,280/2014,SISTEMA ELECTRICO NACIONAL,OPERATIVA,6/14/2021 8:00 p. m.,186966,5832983,19 SUR,WGS 1984,BIOBIO,BIO-BIO,NEGRETE,COMISION NACIONAL DE ENERGIA,8/2/2015 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.54551547599993 -37.59700660708766)
39,355,88,VIENTOS PATAGONICOS,EMPRESA NACIONAL DEL PETROLEO - MAGALLANES,EOLICO, ,NO APLICA,10.35,3,029/2017,SISTEMA ELECTRICO DE MAGALLANES,OPERATIVA,10/15/2020 9:00 p. m.,376681,4133137,19 SUR,WGS 1984,MAGALLANES Y DE LA ANTARTICA CHILENA,MAGALLANES,PUNTA ARENAS,COMISION NACIONAL DE ENERGIA,7/26/2016 8:00 p. m.,6/29/2023 8:00 p. m.,POINT (-70.83498020499997 -52.937221520093125)
40,356,89,LA ESPERANZA,EOLICA LA ESPERANZA S.A.,EOLICO, ,NO APLICA,10.2585,5,284/2015,SISTEMA ELECTRICO NACIONAL,OPERATIVA,2/12/2017 9:00 p. m.,187989,5832040,19 SUR,WGS 1984,BIOBIO,BIO-BIO,NEGRETE,COMISION NACIONAL DE ENERGIA,9/29/2017 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.53435073499998 -37.60583747608759)
41,357,90,RENAICO I,ENEL GREEN POWER CHILE,EOLICO, ,NO APLICA,87.5,44,149/2012,SISTEMA ELECTRICO NACIONAL,OPERATIVA,9/11/2016 9:00 p. m.,184344,5819140,19 SUR,WGS 1984,LA ARAUCANIA,MALLECO,RENAICO,COMISION NACIONAL DE ENERGIA,12/30/2016 9:00 p. m.,6/29/2023 8:00 p. m.,POINT (-72.58114450599999 -37.72064016208667)
