Fecha y Hora;Nombre Central;Generación Real (MWh)
11-07-2023 14:00;PFV ANDES SOLAR II-B;0
11-07-2023 15:00;PFV ANDES SOLAR II-B;0
11-07-2023 16:00;PFV ANDES SOLAR II-B;0
11-07-2023 17:00;PFV ANDES SOLAR II-B;0
11-07-2023 18:00;PFV ANDES SOLAR II-B;0
11-07-2023 19:00;PFV ANDES SOLAR II-B;94
11-07-2023 20:00;PFV ANDES SOLAR II-B;100
11-07-2023 21:00;PFV ANDES SOLAR II-B;100
11-07-2023 22:00;PFV ANDES SOLAR II-B;100
11-07-2023 23:00;PFV ANDES SOLAR II-B;24
11-07-2023 23:59;PFV ANDES SOLAR II-B;0
12-07-2023 1:00;PFV ANDES SOLAR II-B;0
12-07-2023 2:00;PFV ANDES SOLAR II-B;0
12-07-2023 3:00;PFV ANDES SOLAR II-B;0
12-07-2023 4:00;PFV ANDES SOLAR II-B;0
12-07-2023 5:00;PFV ANDES SOLAR II-B;0
12-07-2023 6:00;PFV ANDES SOLAR II-B;0
12-07-2023 7:00;PFV ANDES SOLAR II-B;0
12-07-2023 8:00;PFV ANDES SOLAR II-B;3
12-07-2023 9:00;PFV ANDES SOLAR II-B;10
12-07-2023 10:00;PFV ANDES SOLAR II-B;10
12-07-2023 11:00;PFV ANDES SOLAR II-B;10
12-07-2023 12:00;PFV ANDES SOLAR II-B;10
12-07-2023 13:00;PFV ANDES SOLAR II-B;10
12-07-2023 14:00;PFV ANDES SOLAR II-B;10
12-07-2023 15:00;PFV ANDES SOLAR II-B;10
12-07-2023 16:00;PFV ANDES SOLAR II-B;10
12-07-2023 17:00;PFV ANDES SOLAR II-B;10
12-07-2023 18:00;PFV ANDES SOLAR II-B;10
12-07-2023 19:00;PFV ANDES SOLAR II-B;96
12-07-2023 20:00;PFV ANDES SOLAR II-B;102
12-07-2023 21:00;PFV ANDES SOLAR II-B;102
12-07-2023 22:00;PFV ANDES SOLAR II-B;102
12-07-2023 23:00;PFV ANDES SOLAR II-B;47
12-07-2023 23:59;PFV ANDES SOLAR II-B;0
13-07-2023 1:00;PFV ANDES SOLAR II-B;0
13-07-2023 2:00;PFV ANDES SOLAR II-B;0
13-07-2023 3:00;PFV ANDES SOLAR II-B;0
13-07-2023 4:00;PFV ANDES SOLAR II-B;0
13-07-2023 5:00;PFV ANDES SOLAR II-B;0
13-07-2023 6:00;PFV ANDES SOLAR II-B;0
13-07-2023 7:00;PFV ANDES SOLAR II-B;0
13-07-2023 8:00;PFV ANDES SOLAR II-B;3
13-07-2023 9:00;PFV ANDES SOLAR II-B;10
13-07-2023 10:00;PFV ANDES SOLAR II-B;10
13-07-2023 11:00;PFV ANDES SOLAR II-B;10
13-07-2023 12:00;PFV ANDES SOLAR II-B;10
13-07-2023 13:00;PFV ANDES SOLAR II-B;10
13-07-2023 14:00;PFV ANDES SOLAR II-B;10
13-07-2023 15:00;PFV ANDES SOLAR II-B;10
13-07-2023 16:00;PFV ANDES SOLAR II-B;10
13-07-2023 17:00;PFV ANDES SOLAR II-B;8
13-07-2023 18:00;PFV ANDES SOLAR II-B;3
13-07-2023 19:00;PFV ANDES SOLAR II-B;96
